# driver=heuristic_weighted_average hz=14.08 rows=12691 runs=34
# 34 training seeds, WeightedAverage controller, applied_steer after smoothing.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.1396,8.616
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.1443,8.242
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.1534,8.147
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.1704,7.686
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.2062,7.564
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.256,7.216
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.3051,7.086
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.3514,6.732
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.3883,6.691
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.4055,6.355
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.4378,6.2
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.4751,6.182
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.4934,6.063
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.5022,5.91
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.5075,5.894
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.5126,5.875
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.5147,5.861
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.5141,5.843
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.509,5.83
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.4463,5.817
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.4423,5.812
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.4353,5.978
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.4301,6.257
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.4144,6.629
