# driver=ppo_car_009_bc_s7_deterministic hz=14.08 rows=8824 runs=10
# Ten held-out seeds, selected through results/rl/trace_manifest.json.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
ppo_car_009_bc_s7_deterministic,seed1001,-0.10091,9.78149
ppo_car_009_bc_s7_deterministic,seed1001,-0.10354,9.78688
ppo_car_009_bc_s7_deterministic,seed1001,-0.08474,9.79288
ppo_car_009_bc_s7_deterministic,seed1001,-0.08166,9.79775
ppo_car_009_bc_s7_deterministic,seed1001,-0.08877,9.80464
ppo_car_009_bc_s7_deterministic,seed1001,-0.08877,9.80935
ppo_car_009_bc_s7_deterministic,seed1001,-0.09252,9.81467
ppo_car_009_bc_s7_deterministic,seed1001,-0.09297,9.81794
ppo_car_009_bc_s7_deterministic,seed1001,-0.09366,9.8215
ppo_car_009_bc_s7_deterministic,seed1001,-0.09568,9.82361
ppo_car_009_bc_s7_deterministic,seed1001,-0.09784,9.82565
ppo_car_009_bc_s7_deterministic,seed1001,-0.09933,9.82689
ppo_car_009_bc_s7_deterministic,seed1001,-0.09901,9.82739
ppo_car_009_bc_s7_deterministic,seed1001,-0.09901,9.8277
ppo_car_009_bc_s7_deterministic,seed1001,-0.09386,9.82792
ppo_car_009_bc_s7_deterministic,seed1001,-0.19494,9.82094
ppo_car_009_bc_s7_deterministic,seed1001,-0.17407,9.81181
ppo_car_009_bc_s7_deterministic,seed1001,-0.11629,9.802
ppo_car_009_bc_s7_deterministic,seed1001,-0.00514,9.79873
ppo_car_009_bc_s7_deterministic,seed1001,-0.07424,9.80445
ppo_car_009_bc_s7_deterministic,seed1001,-0.14468,9.81261
ppo_car_009_bc_s7_deterministic,seed1001,-0.13854,9.8129
ppo_car_009_bc_s7_deterministic,seed1001,-0.11957,9.81083
ppo_car_009_bc_s7_deterministic,seed1001,-0.11957,9.80941
ppo_car_009_bc_s7_deterministic,seed1001,-0.11919,9.80751
ppo_car_009_bc_s7_deterministic,seed1001,-0.12553,9.80601
ppo_car_009_bc_s7_deterministic,seed1001,-0.15597,9.80191
ppo_car_009_bc_s7_deterministic,seed1001,-0.13641,9.79721
ppo_car_009_bc_s7_deterministic,seed1001,-0.1121,9.79268
ppo_car_009_bc_s7_deterministic,seed1001,-0.08959,9.79135
ppo_car_009_bc_s7_deterministic,seed1001,-0.04526,9.79304
ppo_car_009_bc_s7_deterministic,seed1001,0.02104,9.80016
ppo_car_009_bc_s7_deterministic,seed1001,0.06717,9.80933
ppo_car_009_bc_s7_deterministic,seed1001,0.1174,9.83004
ppo_car_009_bc_s7_deterministic,seed1001,0.06524,9.84811
ppo_car_009_bc_s7_deterministic,seed1001,0.01857,9.86516
ppo_car_009_bc_s7_deterministic,seed1001,0.011,9.87601
ppo_car_009_bc_s7_deterministic,seed1001,0.00729,9.88886
ppo_car_009_bc_s7_deterministic,seed1001,0.13798,9.89766
ppo_car_009_bc_s7_deterministic,seed1001,0.19596,9.88842
ppo_car_009_bc_s7_deterministic,seed1001,0.10299,9.87534
ppo_car_009_bc_s7_deterministic,seed1001,0.10163,9.87121
ppo_car_009_bc_s7_deterministic,seed1001,0.07696,9.86483
ppo_car_009_bc_s7_deterministic,seed1001,0.08251,9.86009
ppo_car_009_bc_s7_deterministic,seed1001,0.07665,9.85607
ppo_car_009_bc_s7_deterministic,seed1001,0.05697,9.85478
