# driver=ppo_car_009_bc_deterministic hz=14.08 rows=8788 runs=10
# Ten held-out seeds, selected through results/rl/trace_manifest.json.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
ppo_car_009_bc_deterministic,seed1001,-0.07516,9.85784
ppo_car_009_bc_deterministic,seed1001,-0.08023,9.86031
ppo_car_009_bc_deterministic,seed1001,-0.08491,9.86217
ppo_car_009_bc_deterministic,seed1001,-0.087,9.86255
ppo_car_009_bc_deterministic,seed1001,-0.14633,9.86212
ppo_car_009_bc_deterministic,seed1001,-0.15713,9.85282
ppo_car_009_bc_deterministic,seed1001,-0.15713,9.84405
ppo_car_009_bc_deterministic,seed1001,-0.15665,9.83207
ppo_car_009_bc_deterministic,seed1001,-0.16361,9.82254
ppo_car_009_bc_deterministic,seed1001,-0.12381,9.81101
ppo_car_009_bc_deterministic,seed1001,-0.17073,9.80376
ppo_car_009_bc_deterministic,seed1001,-0.18518,9.79089
ppo_car_009_bc_deterministic,seed1001,-0.17817,9.77677
ppo_car_009_bc_deterministic,seed1001,-0.17484,9.76704
ppo_car_009_bc_deterministic,seed1001,-0.16983,9.75543
ppo_car_009_bc_deterministic,seed1001,-0.16983,9.74803
ppo_car_009_bc_deterministic,seed1001,-0.18216,9.73835
ppo_car_009_bc_deterministic,seed1001,-0.15425,9.73299
ppo_car_009_bc_deterministic,seed1001,-0.11843,9.73037
ppo_car_009_bc_deterministic,seed1001,-0.0163,9.7325
ppo_car_009_bc_deterministic,seed1001,0.12811,9.74418
ppo_car_009_bc_deterministic,seed1001,0.14801,9.75694
ppo_car_009_bc_deterministic,seed1001,0.1209,9.78514
ppo_car_009_bc_deterministic,seed1001,0.12072,9.80528
ppo_car_009_bc_deterministic,seed1001,0.12072,9.81455
ppo_car_009_bc_deterministic,seed1001,0.12307,9.82133
ppo_car_009_bc_deterministic,seed1001,0.12307,9.82334
ppo_car_009_bc_deterministic,seed1001,0.12307,9.82324
ppo_car_009_bc_deterministic,seed1001,0.12307,9.82169
ppo_car_009_bc_deterministic,seed1001,0.12307,9.81848
ppo_car_009_bc_deterministic,seed1001,0.12307,9.81562
ppo_car_009_bc_deterministic,seed1001,0.12307,9.81159
ppo_car_009_bc_deterministic,seed1001,0.12307,9.80762
ppo_car_009_bc_deterministic,seed1001,0.12307,9.8048
ppo_car_009_bc_deterministic,seed1001,0.0228,9.80223
ppo_car_009_bc_deterministic,seed1001,-0.11149,9.80473
ppo_car_009_bc_deterministic,seed1001,-0.0713,9.82106
ppo_car_009_bc_deterministic,seed1001,-0.06199,9.84065
ppo_car_009_bc_deterministic,seed1001,-0.08064,9.86208
ppo_car_009_bc_deterministic,seed1001,-0.10702,9.87235
ppo_car_009_bc_deterministic,seed1001,-0.11782,9.87884
ppo_car_009_bc_deterministic,seed1001,-0.12855,9.87863
ppo_car_009_bc_deterministic,seed1001,-0.12855,9.87496
ppo_car_009_bc_deterministic,seed1001,-0.13976,9.86661
ppo_car_009_bc_deterministic,seed1001,-0.14977,9.85901
ppo_car_009_bc_deterministic,seed1001,-0.15852,9.84781
ppo_car_009_bc_deterministic,seed1001,-0.16649,9.83864
ppo_car_009_bc_deterministic,seed1001,-0.17397,9.82533
ppo_car_009_bc_deterministic,seed1001,-0.17727,9.81466
ppo_car_009_bc_deterministic,seed1001,-0.18199,9.79979
ppo_car_009_bc_deterministic,seed1001,-0.18199,9.78801
ppo_car_009_bc_deterministic,seed1001,-0.18665,9.77166
ppo_car_009_bc_deterministic,seed1001,-0.25438,9.74819
ppo_car_009_bc_deterministic,seed1001,-0.24293,9.73048
ppo_car_009_bc_deterministic,seed1001,-0.25855,9.70657
ppo_car_009_bc_deterministic,seed1001,-0.41092,9.68403
ppo_car_009_bc_deterministic,seed1001,-0.5993,9.60176
ppo_car_009_bc_deterministic,seed1001,-0.51038,9.52885
ppo_car_009_bc_deterministic,seed1001,-0.43186,9.47225
ppo_car_009_bc_deterministic,seed1001,-0.43186,9.43725
ppo_car_009_bc_deterministic,seed1001,-0.12886,9.41169
ppo_car_009_bc_deterministic,seed1001,-0.03537,9.4241
ppo_car_009_bc_deterministic,seed1001,-0.20647,9.44605
ppo_car_009_bc_deterministic,seed1001,-0.41676,9.45972
ppo_car_009_bc_deterministic,seed1001,-0.6568,9.42619
ppo_car_009_bc_deterministic,seed1001,-0.52332,9.34185
ppo_car_009_bc_deterministic,seed1001,-0.4566,9.31017
ppo_car_009_bc_deterministic,seed1001,-0.45007,9.28615
ppo_car_009_bc_deterministic,seed1001,-0.45007,9.26887
ppo_car_009_bc_deterministic,seed1001,-0.44919,9.24647
ppo_car_009_bc_deterministic,seed1001,-0.44353,9.23157
ppo_car_009_bc_deterministic,seed1001,-0.43604,9.21562
ppo_car_009_bc_deterministic,seed1001,-0.42794,9.20414
ppo_car_009_bc_deterministic,seed1001,-0.41868,9.19823
ppo_car_009_bc_deterministic,seed1001,-0.4072,9.19405
ppo_car_009_bc_deterministic,seed1001,-0.47588,9.19346
ppo_car_009_bc_deterministic,seed1001,-0.41502,9.17787
ppo_car_009_bc_deterministic,seed1001,-0.19624,9.18975
ppo_car_009_bc_deterministic,seed1001,-0.01819,9.23815
ppo_car_009_bc_deterministic,seed1001,-0.20257,9.28618
ppo_car_009_bc_deterministic,seed1001,-0.42543,9.33056
ppo_car_009_bc_deterministic,seed1001,-0.62422,9.30029
ppo_car_009_bc_deterministic,seed1001,-0.489,9.2588
ppo_car_009_bc_deterministic,seed1001,-0.42077,9.24681
ppo_car_009_bc_deterministic,seed1001,-0.34821,9.24446
ppo_car_009_bc_deterministic,seed1001,-0.06766,9.26818
ppo_car_009_bc_deterministic,seed1001,-0.06766,9.30305
ppo_car_009_bc_deterministic,seed1001,-0.21601,9.35211
ppo_car_009_bc_deterministic,seed1001,-0.34324,9.37394
ppo_car_009_bc_deterministic,seed1001,-0.29514,9.3907
ppo_car_009_bc_deterministic,seed1001,-0.26937,9.41086
ppo_car_009_bc_deterministic,seed1001,-0.27044,9.42514
ppo_car_009_bc_deterministic,seed1001,-0.27064,9.44067
ppo_car_009_bc_deterministic,seed1001,-0.26586,9.4503
ppo_car_009_bc_deterministic,seed1001,-0.25964,9.46188
ppo_car_009_bc_deterministic,seed1001,-0.25964,9.47007
ppo_car_009_bc_deterministic,seed1001,-0.25277,9.48054
ppo_car_009_bc_deterministic,seed1001,-0.24476,9.48845
ppo_car_009_bc_deterministic,seed1001,-0.23538,9.49928
ppo_car_009_bc_deterministic,seed1001,-0.22445,9.50776
ppo_car_009_bc_deterministic,seed1001,-0.24475,9.51922
ppo_car_009_bc_deterministic,seed1001,-0.21718,9.52826
ppo_car_009_bc_deterministic,seed1001,-0.19909,9.53692
ppo_car_009_bc_deterministic,seed1001,-0.18676,9.5506
ppo_car_009_bc_deterministic,seed1001,-0.18676,9.56188
ppo_car_009_bc_deterministic,seed1001,-0.17277,9.57802
ppo_car_009_bc_deterministic,seed1001,-0.15803,9.5911
ppo_car_009_bc_deterministic,seed1001,-0.14398,9.60956
ppo_car_009_bc_deterministic,seed1001,-0.1311,9.62397
ppo_car_009_bc_deterministic,seed1001,-0.12607,9.64371
ppo_car_009_bc_deterministic,seed1001,-0.11609,9.66302
ppo_car_009_bc_deterministic,seed1001,-0.10507,9.67728
ppo_car_009_bc_deterministic,seed1001,-0.11043,9.69605
ppo_car_009_bc_deterministic,seed1001,-0.11043,9.70923
ppo_car_009_bc_deterministic,seed1001,-0.09478,9.72598
ppo_car_009_bc_deterministic,seed1001,-0.08503,9.73833
ppo_car_009_bc_deterministic,seed1001,-0.07871,9.7544
ppo_car_009_bc_deterministic,seed1001,-0.07223,9.76601
ppo_car_009_bc_deterministic,seed1001,-0.06622,9.78097
ppo_car_009_bc_deterministic,seed1001,-0.06123,9.79174
ppo_car_009_bc_deterministic,seed1001,-0.05713,9.8054
ppo_car_009_bc_deterministic,seed1001,-0.05368,9.81822
ppo_car_009_bc_deterministic,seed1001,-0.05368,9.82722
ppo_car_009_bc_deterministic,seed1001,-0.05081,9.8384
ppo_car_009_bc_deterministic,seed1001,-0.05326,9.84601
ppo_car_009_bc_deterministic,seed1001,-0.09655,9.85387
ppo_car_009_bc_deterministic,seed1001,-0.08537,9.8568
ppo_car_009_bc_deterministic,seed1001,-0.08719,9.85903
ppo_car_009_bc_deterministic,seed1001,-0.09635,9.85966
ppo_car_009_bc_deterministic,seed1001,-0.10374,9.85886
ppo_car_009_bc_deterministic,seed1001,-0.11011,9.85633
ppo_car_009_bc_deterministic,seed1001,-0.11011,9.8534
ppo_car_009_bc_deterministic,seed1001,-0.11647,9.84842
ppo_car_009_bc_deterministic,seed1001,-0.12246,9.84395
ppo_car_009_bc_deterministic,seed1001,-0.12753,9.83723
ppo_car_009_bc_deterministic,seed1001,-0.13094,9.8318
ppo_car_009_bc_deterministic,seed1001,-0.18086,9.82314
ppo_car_009_bc_deterministic,seed1001,-0.16594,9.81268
ppo_car_009_bc_deterministic,seed1001,-0.16529,9.79985
ppo_car_009_bc_deterministic,seed1001,-0.17169,9.78756
ppo_car_009_bc_deterministic,seed1001,-0.17169,9.77833
ppo_car_009_bc_deterministic,seed1001,-0.17487,9.76647
ppo_car_009_bc_deterministic,seed1001,-0.17627,9.75804
ppo_car_009_bc_deterministic,seed1001,-0.17742,9.74762
ppo_car_009_bc_deterministic,seed1001,-0.17819,9.74045
ppo_car_009_bc_deterministic,seed1001,-0.17841,9.73178
ppo_car_009_bc_deterministic,seed1001,-0.17798,9.72598
ppo_car_009_bc_deterministic,seed1001,-0.17635,9.71919
ppo_car_009_bc_deterministic,seed1001,-0.17635,9.71486
ppo_car_009_bc_deterministic,seed1001,-0.22237,9.70511
ppo_car_009_bc_deterministic,seed1001,-0.20314,9.69539
ppo_car_009_bc_deterministic,seed1001,-0.19964,9.68927
ppo_car_009_bc_deterministic,seed1001,-0.20427,9.68178
ppo_car_009_bc_deterministic,seed1001,-0.20691,9.67635
ppo_car_009_bc_deterministic,seed1001,-0.20903,9.66942
ppo_car_009_bc_deterministic,seed1001,-0.21148,9.66451
ppo_car_009_bc_deterministic,seed1001,-0.21437,9.65816
ppo_car_009_bc_deterministic,seed1001,-0.21437,9.65344
ppo_car_009_bc_deterministic,seed1001,-0.21876,9.64711
ppo_car_009_bc_deterministic,seed1001,-0.22438,9.64038
ppo_car_009_bc_deterministic,seed1001,-0.23112,9.63486
ppo_car_009_bc_deterministic,seed1001,-0.30524,9.62087
ppo_car_009_bc_deterministic,seed1001,-0.3101,9.60486
ppo_car_009_bc_deterministic,seed1001,-0.45839,9.57882
ppo_car_009_bc_deterministic,seed1001,-0.56461,9.51979
ppo_car_009_bc_deterministic,seed1001,-0.49005,9.43583
ppo_car_009_bc_deterministic,seed1001,-0.26012,9.40739
ppo_car_009_bc_deterministic,seed1001,-0.01877,9.41003
ppo_car_009_bc_deterministic,seed1001,-0.1576,9.42936
ppo_car_009_bc_deterministic,seed1001,-0.2486,9.45316
ppo_car_009_bc_deterministic,seed1001,-0.22011,9.47113
ppo_car_009_bc_deterministic,seed1001,-0.2006,9.48639
ppo_car_009_bc_deterministic,seed1001,-0.24861,9.50654
ppo_car_009_bc_deterministic,seed1001,-0.21393,9.51595
ppo_car_009_bc_deterministic,seed1001,-0.16685,9.53186
ppo_car_009_bc_deterministic,seed1001,-0.16685,9.54757
ppo_car_009_bc_deterministic,seed1001,-0.17598,9.56773
ppo_car_009_bc_deterministic,seed1001,-0.18766,9.58089
ppo_car_009_bc_deterministic,seed1001,-0.1687,9.59678
ppo_car_009_bc_deterministic,seed1001,-0.15429,9.61273
ppo_car_009_bc_deterministic,seed1001,-0.14132,9.62473
ppo_car_009_bc_deterministic,seed1001,-0.12304,9.64123
ppo_car_009_bc_deterministic,seed1001,-0.09744,9.6543
ppo_car_009_bc_deterministic,seed1001,-0.06109,9.67335
ppo_car_009_bc_deterministic,seed1001,-0.06109,9.68946
ppo_car_009_bc_deterministic,seed1001,-0.00183,9.71354
ppo_car_009_bc_deterministic,seed1001,0.0448,9.73411
ppo_car_009_bc_deterministic,seed1001,0.0725,9.76503
ppo_car_009_bc_deterministic,seed1001,0.08666,9.79656
ppo_car_009_bc_deterministic,seed1001,0.09469,9.81376
ppo_car_009_bc_deterministic,seed1001,0.09916,9.82918
ppo_car_009_bc_deterministic,seed1001,0.10019,9.83646
ppo_car_009_bc_deterministic,seed1001,0.09767,9.84206
ppo_car_009_bc_deterministic,seed1001,0.09767,9.84419
ppo_car_009_bc_deterministic,seed1001,0.09146,9.84542
ppo_car_009_bc_deterministic,seed1001,0.0817,9.84593
ppo_car_009_bc_deterministic,seed1001,0.06828,9.84701
ppo_car_009_bc_deterministic,seed1001,0.06906,9.84841
ppo_car_009_bc_deterministic,seed1001,0.04381,9.85083
ppo_car_009_bc_deterministic,seed1001,0.00893,9.85549
ppo_car_009_bc_deterministic,seed1001,-0.06689,9.86125
ppo_car_009_bc_deterministic,seed1001,-0.06745,9.87387
ppo_car_009_bc_deterministic,seed1001,-0.06745,9.88722
ppo_car_009_bc_deterministic,seed1001,-0.07263,9.89855
ppo_car_009_bc_deterministic,seed1001,-0.08865,9.90267
ppo_car_009_bc_deterministic,seed1001,-0.10326,9.90319
ppo_car_009_bc_deterministic,seed1001,-0.11506,9.90041
ppo_car_009_bc_deterministic,seed1001,-0.12499,9.89326
ppo_car_009_bc_deterministic,seed1001,-0.1327,9.8845
ppo_car_009_bc_deterministic,seed1001,-0.17674,9.87738
ppo_car_009_bc_deterministic,seed1001,-0.17075,9.86356
ppo_car_009_bc_deterministic,seed1001,-0.17075,9.8539
ppo_car_009_bc_deterministic,seed1001,-0.17466,9.84035
ppo_car_009_bc_deterministic,seed1001,-0.18299,9.8293
ppo_car_009_bc_deterministic,seed1001,-0.18794,9.8136
ppo_car_009_bc_deterministic,seed1001,-0.19368,9.8012
ppo_car_009_bc_deterministic,seed1001,-0.20057,9.78373
ppo_car_009_bc_deterministic,seed1001,-0.2089,9.77
ppo_car_009_bc_deterministic,seed1001,-0.22045,9.75052
ppo_car_009_bc_deterministic,seed1001,-0.24387,9.72965
ppo_car_009_bc_deterministic,seed1001,-0.24387,9.7122
ppo_car_009_bc_deterministic,seed1001,-0.5426,9.66374
ppo_car_009_bc_deterministic,seed1001,-0.62591,9.58711
ppo_car_009_bc_deterministic,seed1001,-0.49469,9.50296
ppo_car_009_bc_deterministic,seed1001,-0.44758,9.46228
ppo_car_009_bc_deterministic,seed1001,-0.44234,9.41181
ppo_car_009_bc_deterministic,seed1001,-0.3538,9.37586
ppo_car_009_bc_deterministic,seed1001,-0.07212,9.36949
ppo_car_009_bc_deterministic,seed1001,-0.12398,9.39528
ppo_car_009_bc_deterministic,seed1001,-0.22274,9.41711
ppo_car_009_bc_deterministic,seed1001,-0.51811,9.42007
ppo_car_009_bc_deterministic,seed1001,-0.60201,9.37272
ppo_car_009_bc_deterministic,seed1001,-0.46122,9.31773
ppo_car_009_bc_deterministic,seed1001,-0.48533,9.29813
ppo_car_009_bc_deterministic,seed1001,-0.46778,9.26831
ppo_car_009_bc_deterministic,seed1001,-0.45999,9.24891
ppo_car_009_bc_deterministic,seed1001,-0.45626,9.22654
ppo_car_009_bc_deterministic,seed1001,-0.45169,9.2073
ppo_car_009_bc_deterministic,seed1001,-0.45169,9.19566
ppo_car_009_bc_deterministic,seed1001,-0.44616,9.18318
ppo_car_009_bc_deterministic,seed1001,-0.43998,9.17633
ppo_car_009_bc_deterministic,seed1001,-0.43303,9.17043
ppo_car_009_bc_deterministic,seed1001,-0.42486,9.16809
ppo_car_009_bc_deterministic,seed1001,-0.41477,9.16785
ppo_car_009_bc_deterministic,seed1001,-0.40141,9.16961
ppo_car_009_bc_deterministic,seed1001,-0.32219,9.1747
ppo_car_009_bc_deterministic,seed1001,-0.10765,9.20125
ppo_car_009_bc_deterministic,seed1001,-0.1206,9.25791
ppo_car_009_bc_deterministic,seed1001,-0.27097,9.30779
ppo_car_009_bc_deterministic,seed1001,-0.50361,9.3216
ppo_car_009_bc_deterministic,seed1001,-0.57691,9.28011
ppo_car_009_bc_deterministic,seed1001,-0.45856,9.25089
ppo_car_009_bc_deterministic,seed1001,-0.3121,9.24385
ppo_car_009_bc_deterministic,seed1001,-0.08733,9.26264
ppo_car_009_bc_deterministic,seed1001,-0.14671,9.31001
ppo_car_009_bc_deterministic,seed1001,-0.20673,9.34592
ppo_car_009_bc_deterministic,seed1001,-0.24634,9.38238
ppo_car_009_bc_deterministic,seed1001,-0.21663,9.41553
ppo_car_009_bc_deterministic,seed1001,-0.29016,9.43376
ppo_car_009_bc_deterministic,seed1001,-0.26042,9.45191
ppo_car_009_bc_deterministic,seed1001,-0.24803,9.46521
ppo_car_009_bc_deterministic,seed1001,-0.24717,9.48109
ppo_car_009_bc_deterministic,seed1001,-0.24237,9.4911
ppo_car_009_bc_deterministic,seed1001,-0.23382,9.50324
ppo_car_009_bc_deterministic,seed1001,-0.23382,9.51214
ppo_car_009_bc_deterministic,seed1001,-0.22353,9.524
ppo_car_009_bc_deterministic,seed1001,-0.21144,9.53338
ppo_car_009_bc_deterministic,seed1001,-0.19748,9.54681
ppo_car_009_bc_deterministic,seed1001,-0.1824,9.56163
ppo_car_009_bc_deterministic,seed1001,-0.16726,9.57365
ppo_car_009_bc_deterministic,seed1001,-0.17632,9.59066
ppo_car_009_bc_deterministic,seed1001,-0.15297,9.60234
ppo_car_009_bc_deterministic,seed1001,-0.14608,9.61949
ppo_car_009_bc_deterministic,seed1001,-0.14608,9.63239
ppo_car_009_bc_deterministic,seed1001,-0.13683,9.64945
ppo_car_009_bc_deterministic,seed1001,-0.12412,9.66235
ppo_car_009_bc_deterministic,seed1001,-0.11102,9.67981
ppo_car_009_bc_deterministic,seed1001,-0.05652,9.69814
ppo_car_009_bc_deterministic,seed1001,-0.04766,9.71379
ppo_car_009_bc_deterministic,seed1001,-0.04598,9.73601
ppo_car_009_bc_deterministic,seed1001,-0.1053,9.75275
ppo_car_009_bc_deterministic,seed1001,-0.06066,9.77088
ppo_car_009_bc_deterministic,seed1001,-0.06066,9.78332
ppo_car_009_bc_deterministic,seed1001,-0.0587,9.79913
ppo_car_009_bc_deterministic,seed1001,-0.06011,9.81001
ppo_car_009_bc_deterministic,seed1001,-0.06035,9.82296
ppo_car_009_bc_deterministic,seed1001,-0.06108,9.83413
ppo_car_009_bc_deterministic,seed1001,-0.06329,9.84135
ppo_car_009_bc_deterministic,seed1001,-0.06666,9.84946
ppo_car_009_bc_deterministic,seed1001,-0.07094,9.8544
ppo_car_009_bc_deterministic,seed1001,-0.07592,9.85942
ppo_car_009_bc_deterministic,seed1001,-0.07592,9.86202
ppo_car_009_bc_deterministic,seed1001,-0.08114,9.86406
ppo_car_009_bc_deterministic,seed1001,-0.08544,9.86457
ppo_car_009_bc_deterministic,seed1001,-0.15728,9.86111
ppo_car_009_bc_deterministic,seed1001,-0.14222,9.85412
ppo_car_009_bc_deterministic,seed1001,-0.14753,9.84387
ppo_car_009_bc_deterministic,seed1001,-0.1601,9.83212
ppo_car_009_bc_deterministic,seed1001,-0.14211,9.82249
ppo_car_009_bc_deterministic,seed1001,-0.141,9.8115
ppo_car_009_bc_deterministic,seed1001,-0.141,9.80425
ppo_car_009_bc_deterministic,seed1001,-0.17555,9.7927
ppo_car_009_bc_deterministic,seed1001,-0.17957,9.78293
ppo_car_009_bc_deterministic,seed1001,-0.17507,9.77025
ppo_car_009_bc_deterministic,seed1001,-0.17191,9.76156
ppo_car_009_bc_deterministic,seed1001,-0.16483,9.75143
ppo_car_009_bc_deterministic,seed1001,-0.17718,9.74307
ppo_car_009_bc_deterministic,seed1001,-0.1453,9.73673
