# driver=ppo_car_009_bc_sampling hz=14.08 rows=8125 runs=10
# Ten held-out seeds, selected through results/rl/trace_manifest.json.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
ppo_car_009_bc_sampling,seed1001,0.04422,9.67088
ppo_car_009_bc_sampling,seed1001,-0.16883,9.71298
ppo_car_009_bc_sampling,seed1001,-0.07847,9.7276
ppo_car_009_bc_sampling,seed1001,-0.14945,9.74366
ppo_car_009_bc_sampling,seed1001,-0.35357,9.75597
ppo_car_009_bc_sampling,seed1001,-0.49881,9.70619
ppo_car_009_bc_sampling,seed1001,-0.48137,9.66505
ppo_car_009_bc_sampling,seed1001,-0.16852,9.64209
ppo_car_009_bc_sampling,seed1001,-0.26928,9.62923
ppo_car_009_bc_sampling,seed1001,-0.03878,9.61781
ppo_car_009_bc_sampling,seed1001,-0.21854,9.62213
ppo_car_009_bc_sampling,seed1001,-0.42473,9.6119
ppo_car_009_bc_sampling,seed1001,-0.43944,9.5426
ppo_car_009_bc_sampling,seed1001,-0.27703,9.51637
ppo_car_009_bc_sampling,seed1001,-0.03401,9.51436
ppo_car_009_bc_sampling,seed1001,0.19851,9.52854
ppo_car_009_bc_sampling,seed1001,-0.00215,9.56314
ppo_car_009_bc_sampling,seed1001,-0.21532,9.60183
ppo_car_009_bc_sampling,seed1001,-0.17009,9.63041
ppo_car_009_bc_sampling,seed1001,-0.40677,9.63036
ppo_car_009_bc_sampling,seed1001,-0.31921,9.59398
ppo_car_009_bc_sampling,seed1001,-0.00285,9.59294
ppo_car_009_bc_sampling,seed1001,0.17908,9.5991
ppo_car_009_bc_sampling,seed1001,0.25426,9.62983
ppo_car_009_bc_sampling,seed1001,0.32916,9.63867
ppo_car_009_bc_sampling,seed1001,0.03029,9.66322
ppo_car_009_bc_sampling,seed1001,0.26047,9.67492
ppo_car_009_bc_sampling,seed1001,0.22196,9.67334
ppo_car_009_bc_sampling,seed1001,0.22199,9.6756
ppo_car_009_bc_sampling,seed1001,0.27209,9.6705
ppo_car_009_bc_sampling,seed1001,0.41814,9.65117
ppo_car_009_bc_sampling,seed1001,0.4764,9.6005
ppo_car_009_bc_sampling,seed1001,0.34625,9.5652
ppo_car_009_bc_sampling,seed1001,0.563,9.52754
ppo_car_009_bc_sampling,seed1001,0.25936,9.47271
ppo_car_009_bc_sampling,seed1001,0.04596,9.46677
ppo_car_009_bc_sampling,seed1001,-0.07638,9.47656
ppo_car_009_bc_sampling,seed1001,-0.29691,9.52064
ppo_car_009_bc_sampling,seed1001,-0.21337,9.55026
ppo_car_009_bc_sampling,seed1001,-0.205,9.58774
ppo_car_009_bc_sampling,seed1001,-0.25804,9.61508
ppo_car_009_bc_sampling,seed1001,-0.13777,9.64133
ppo_car_009_bc_sampling,seed1001,-0.07145,9.65251
ppo_car_009_bc_sampling,seed1001,-0.37886,9.66703
ppo_car_009_bc_sampling,seed1001,-0.15967,9.65491
ppo_car_009_bc_sampling,seed1001,-0.3163,9.65875
ppo_car_009_bc_sampling,seed1001,-0.23285,9.63935
ppo_car_009_bc_sampling,seed1001,0.03152,9.63883
ppo_car_009_bc_sampling,seed1001,-0.10716,9.65487
ppo_car_009_bc_sampling,seed1001,-0.3372,9.66431
ppo_car_009_bc_sampling,seed1001,-0.44953,9.61026
ppo_car_009_bc_sampling,seed1001,-0.23174,9.58394
ppo_car_009_bc_sampling,seed1001,-0.22306,9.57551
ppo_car_009_bc_sampling,seed1001,0.00481,9.57744
ppo_car_009_bc_sampling,seed1001,-0.16577,9.60029
ppo_car_009_bc_sampling,seed1001,-0.40075,9.60593
