run_id,step,cumulative_reward,episode_length,policy_loss,value_loss,entropy,reward_checkpoint,reward_wrong_way,reward_wall,reward_step,reward_speed,reward_jerk,end_wallcontact,end_lapscompleted,end_stalled,end_steplimit,end_trackswapped
ppo_car_fr008_check,10000,-5.052364349365234,365.6000061035156,,,1.418938398361206,0.07692307978868484,-0.3333333432674408,-2.307692289352417,-0.7519397139549255,0.0031347759068012238,-0.1762964278459549,18.0,,9.0,,12.0
ppo_car_fr008_check,20000,-4.795274257659912,248.5357208251953,,,1.4189382791519165,0.1388888955116272,-0.4166666567325592,-3.6111111640930176,-0.7737425565719604,0.0035387882962822914,-0.17973123490810394,26.0,,5.0,,5.0
ppo_car_fr008_check,30000,-6.045466899871826,698.7333374023438,0.015520653687417507,0.22167466580867767,1.4169954061508179,0.380952388048172,-0.8095238208770752,-2.6190476417541504,-1.9990954399108887,0.007390276994556189,-0.4708150625228882,11.0,,9.0,,1.0
ppo_car_fr008_check,40000,-5.8324055671691895,406.0,,,1.416873812675476,0.42424243688583374,-0.6060606241226196,-3.7878787517547607,-1.2324678897857666,0.004958192817866802,-0.282410591840744,25.0,,5.0,,3.0
ppo_car_fr008_check,50000,-4.628218173980713,525.4444580078125,0.01772370934486389,0.15538768470287323,1.4159892797470093,0.44999998807907104,-0.800000011920929,-2.0,-1.8926172256469727,0.004577104467898607,-0.4255022704601288,8.0,,9.0,,3.0
ppo_car_fr008_check,60000,-4.647386074066162,507.9090881347656,,,1.4158523082733154,0.48148149251937866,-0.8148148059844971,-2.407407522201538,-1.6542178392410278,0.0021877572871744633,-0.38906532526016235,13.0,,9.0,,5.0
ppo_car_fr008_check,70000,-4.763705730438232,310.5,0.015670206397771835,0.11050529778003693,1.4154261350631714,0.3181818127632141,-0.6818181872367859,-3.0681817531585693,-1.0719624757766724,0.003658505156636238,-0.246816948056221,27.0,,9.0,,8.0
ppo_car_fr008_check,80000,-4.754669189453125,558.1875,,,1.4153401851654053,0.375,-0.8125,-1.5625,-2.236036777496338,0.010800889693200588,-0.5302131175994873,5.0,,10.0,,1.0
ppo_car_fr008_check,90000,-5.251767158508301,413.7391357421875,0.015627652406692505,0.14361660182476044,1.4150378704071045,0.17241379618644714,-0.517241358757019,-3.1034483909606934,-1.3139876127243042,0.010543770156800747,-0.30987709760665894,18.0,,7.0,,4.0
ppo_car_fr008_check,100000,-5.0582075119018555,472.1363525390625,,,1.4149476289749146,0.29629629850387573,-0.6666666865348816,-2.777777671813965,-1.540605902671814,0.006820295006036758,-0.36553800106048584,15.0,,8.0,,4.0
