run_id,step,cumulative_reward,episode_length,policy_loss,value_loss,entropy,reward_checkpoint,reward_wrong_way,reward_wall,reward_step,reward_speed,reward_jerk,reward_progress,markers_per_episode,physics_steps_charged,end_wallcontact,end_lapscompleted,end_stalled,end_steplimit,end_trackswapped,stalled_share
ppo_car_007_spread_a,10000,-5.222370624542236,320.8800048828125,,,1.418938398361206,0.0476190485060215,-0.3571428656578064,-2.5,-0.7661120295524597,0.0015872190706431866,-0.1862788051366806,0.02451929822564125,0.0476190485060215,766.1190185546875,21.0,,8.0,,13.0,0.19047619047619047
ppo_car_007_spread_a,20000,-4.6264567375183105,314.47222900390625,,,1.4189382791519165,0.17391304671764374,-0.47826087474823,-3.2608695030212402,-0.9854409694671631,0.008627569302916527,-0.2313111573457718,0.08713982999324799,0.17391304671764374,985.45654296875,30.0,,11.0,,5.0,0.2391304347826087
ppo_car_007_spread_a,30000,-3.5740890502929688,588.0,0.015027772635221481,0.25990164279937744,1.4220285415649414,0.2666666805744171,-0.6666666865348816,-1.0,-2.0405092239379883,0.01148780807852745,-0.4875464141368866,0.15299393236637115,0.2666666805744171,2040.5333251953125,3.0,,10.0,,2.0,0.6666666666666666
ppo_car_007_spread_a,40000,-4.686331272125244,342.1944580078125,,,1.4221265316009521,0.44897958636283875,-0.6530612111091614,-3.4693877696990967,-1.004021406173706,0.013227402232587337,-0.22967593371868134,0.21934948861598969,0.44897958636283875,1004.0408325195312,34.0,,8.0,,7.0,0.16326530612244897
ppo_car_007_spread_a,50000,-4.926170825958252,446.4705810546875,0.012264803051948547,0.18850496411323547,1.4223424196243286,0.2380952388048172,-0.4761904776096344,-2.857142925262451,-1.4478416442871094,0.02795526199042797,-0.3321039378643036,0.14494071900844574,0.2380952388048172,1447.857177734375,12.0,,7.0,,2.0,0.3333333333333333
ppo_car_007_spread_a,60000,-4.141139030456543,602.2666625976562,,,1.4223707914352417,0.5,-0.8888888955116272,-1.6666666269302368,-2.009455680847168,0.012759525328874588,-0.4808860719203949,0.2492237091064453,0.5,2009.5,6.0,,10.0,,2.0,0.5555555555555556
ppo_car_007_spread_a,70000,-4.507049560546875,559.0,0.01027903612703085,0.0664418563246727,1.422111988067627,0.21052631735801697,-0.5263158082962036,-1.5789474248886108,-1.8852758407592773,0.016774632036685944,-0.45124319195747375,0.10315170884132385,0.21052631735801697,1885.3157958984375,6.0,,10.0,,3.0,0.5263157894736842
ppo_car_007_spread_a,80000,-4.372018814086914,404.76922607421875,,,1.4220640659332275,0.20000000298023224,-0.5666666626930237,-2.5,-1.396306037902832,0.02089575305581093,-0.3230530917644501,0.10264958441257477,0.20000000298023224,1396.3333740234375,15.0,,10.0,,5.0,0.3333333333333333
ppo_car_007_spread_a,90000,-4.951737403869629,503.9473571777344,0.016425540670752525,0.08428838849067688,1.4210290908813477,0.21739129722118378,-0.6521739363670349,-2.3913042545318604,-1.6678414344787598,0.017611393705010414,-0.3926519751548767,0.12580913305282593,0.21739129722118378,1667.8695068359375,11.0,,9.0,,3.0,0.391304347826087
ppo_car_007_spread_a,100000,-4.880908966064453,508.0555419921875,,,1.4208146333694458,0.09090909361839294,-0.5,-2.5,-1.6660653352737427,0.005888198968023062,-0.3809899389743805,0.04611717537045479,0.09090909361839294,1666.0909423828125,11.0,,10.0,,1.0,0.45454545454545453
