run_id,step,cumulative_reward,episode_length,policy_loss,value_loss,entropy,reward_checkpoint,reward_wrong_way,reward_wall,reward_step,reward_speed,reward_jerk,reward_progress,markers_per_episode,physics_steps_charged,wall_contacts,lateral_clearance,end_wallcontact,end_lapscompleted,end_stalled,end_steplimit,end_trackswapped,stalled_share
ppo_car_009_bc,10000,-5.023756504058838,441.52630615234375,,,1.418938398361206,0.11428571492433548,-0.4285714328289032,-1.8571428060531616,-0.9608463644981384,0.0061355591751635075,-0.2297920286655426,0.05661053955554962,0.11428571492433548,960.8571166992188,0.37142857909202576,0.6379681825637817,13.0,,10.0,,12.0,0.2857142857142857
ppo_car_009_bc,20000,-4.507251262664795,563.88232421875,,,1.4189382791519165,0.3499999940395355,-0.75,-2.0,-1.9199138879776,0.006244236137717962,-0.44175592064857483,0.173335462808609,0.3499999940395355,1919.949951171875,0.4000000059604645,0.45511922240257263,8.0,,11.0,,1.0,0.55
ppo_car_009_bc,30000,-4.960330963134766,502.0526428222656,0.020442217588424683,0.09481284767389297,1.4172117710113525,0.17391304671764374,-0.6086956262588501,-2.6086957454681396,-1.6610150337219238,0.005721687339246273,-0.3974868655204773,0.0866193175315857,0.17391304671764374,1661.04345703125,0.6086956262588501,0.5480141043663025,12.0,,9.0,,2.0,0.391304347826087
ppo_car_009_bc,40000,-3.5647599697113037,374.3809509277344,,,1.4171086549758911,0.20000000298023224,-0.47999998927116394,-1.7999999523162842,-1.2590597867965698,0.015106895938515663,-0.2904030382633209,0.11532320827245712,0.20000000298023224,1259.0799560546875,0.36000001430511475,0.6238628625869751,9.0,,8.0,,8.0,0.32
ppo_car_009_bc,50000,-5.39434289932251,637.888916015625,0.014505276456475258,0.09537392109632492,1.416002631187439,1.0714285373687744,-1.5,-2.5,-2.285290479660034,0.009876985102891922,-0.5592215657234192,0.5348489880561829,1.0714285373687744,2285.357177734375,0.5,0.445534884929657,14.0,,6.0,6.0,2.0,0.21428571428571427
ppo_car_009_bc,60000,-5.022889614105225,581.625,,,1.4158704280853271,0.4736842215061188,-0.9473684430122375,-2.1052632331848145,-2.2778990268707275,0.0038097167853266,-0.5259495973587036,0.23629426956176758,0.4736842215061188,2277.947265625,0.42105263471603394,0.558469831943512,8.0,,8.0,2.0,1.0,0.42105263157894735
ppo_car_009_bc,70000,-5.299290657043457,278.8461608886719,0.0150567926466465,0.07815621048212051,1.414569616317749,0.23529411852359772,-0.44117647409439087,-3.8235294818878174,-0.8549356460571289,0.018452636897563934,-0.1983618140220642,0.12903207540512085,0.23529411852359772,854.941162109375,0.7647058963775635,0.4278988838195801,26.0,,3.0,,5.0,0.08823529411764706
ppo_car_009_bc,80000,-4.519124984741211,618.875,,,1.4143415689468384,0.5384615659713745,-0.7692307829856873,-2.5,-1.756067156791687,0.010266389697790146,-0.40422213077545166,0.27713093161582947,0.5384615659713745,1756.1153564453125,0.5384615659713745,0.47384944558143616,13.0,,8.0,2.0,3.0,0.3076923076923077
ppo_car_009_bc,90000,-5.177562713623047,636.7647094726562,0.01493509765714407,0.15461356937885284,1.4132827520370483,0.2083333283662796,-0.7083333134651184,-2.2916667461395264,-1.8071792125701904,0.009134604595601559,-0.42029404640197754,0.10955973714590073,0.2083333283662796,1807.2083740234375,0.4583333432674408,0.5182151198387146,11.0,,12.0,,1.0,0.5
ppo_car_009_bc,100000,-4.0254225730896,317.9230651855469,,,1.412983775138855,0.27659574151039124,-0.44680851697921753,-2.872340440750122,-1.0543228387832642,0.008364150300621986,-0.23467135429382324,0.14761142432689667,0.27659574151039124,1054.3404541015625,0.5744680762290955,0.46943169832229614,27.0,,12.0,,8.0,0.2553191489361702
