run_id,step,cumulative_reward,episode_length,policy_loss,value_loss,entropy,reward_checkpoint,reward_wrong_way,reward_wall,reward_step,reward_speed,reward_jerk,reward_progress,markers_per_episode,physics_steps_charged,end_wallcontact,end_lapscompleted,end_stalled,end_steplimit,end_trackswapped,stalled_share
ppo_car_007_spread_b,10000,-5.357421875,383.47369384765625,,,1.418938398361206,0.05128205195069313,-0.3589743673801422,-2.4358973503112793,-0.7491728067398071,0.003291493747383356,-0.17499010264873505,0.028031833469867706,0.05128205195069313,749.1795043945312,19.0,,8.0,,12.0,0.20512820512820512
ppo_car_007_spread_b,20000,-5.586237907409668,391.31817626953125,,,1.4189382791519165,0.5,-0.5769230723381042,-3.846153736114502,-1.3271284103393555,0.019538739696145058,-0.32348179817199707,0.24918150901794434,0.5,1327.15380859375,20.0,,3.0,,3.0,0.11538461538461539
ppo_car_007_spread_b,30000,-4.987497329711914,405.5833435058594,0.013907035812735558,0.27750062942504883,1.4214621782302856,0.21875,-0.375,-3.28125,-1.2188466787338257,0.005202345084398985,-0.2943895161151886,0.11081410199403763,0.21875,1218.875,21.0,,8.0,,3.0,0.25
ppo_car_007_spread_b,40000,-4.760653495788574,387.17242431640625,,,1.421618103981018,0.29729729890823364,-0.4864864945411682,-3.1081080436706543,-1.2152448892593384,0.01038212701678276,-0.2968181371688843,0.1490076780319214,0.29729729890823364,1215.270263671875,23.0,,9.0,,5.0,0.24324324324324326
ppo_car_007_spread_b,50000,-4.345772743225098,418.29998779296875,0.014190256595611572,0.18854354321956635,1.42322838306427,0.4545454680919647,-0.7272727489471436,-2.5,-1.5229769945144653,0.013714062049984932,-0.3707661032676697,0.230499267578125,0.4545454680919647,1523.0,11.0,,8.0,,3.0,0.36363636363636365
ppo_car_007_spread_b,60000,-4.914529800415039,511.9166564941406,,,1.423438310623169,0.5483871102333069,-0.8709677457809448,-2.7419354915618896,-1.5870953798294067,0.005175205413252115,-0.3741762042045593,0.2765314280986786,0.5483871102333069,1587.1290283203125,17.0,,10.0,,4.0,0.3225806451612903
ppo_car_007_spread_b,70000,-4.409582614898682,530.11767578125,0.015003803186118603,0.10442906618118286,1.4253604412078857,0.3499999940395355,-0.550000011920929,-2.0,-1.8031654357910156,0.01026685070246458,-0.43307799100875854,0.1777367740869522,0.3499999940395355,1803.199951171875,8.0,,9.0,,3.0,0.45
ppo_car_007_spread_b,80000,-4.620691776275635,229.3103485107422,,,1.425729751586914,0.42105263471603394,-0.6578947305679321,-3.8157894611358643,-0.6922852993011475,0.010150730609893799,-0.1674359291791916,0.21692343056201935,0.42105263471603394,692.2894897460938,29.0,,2.0,,7.0,0.05263157894736842
ppo_car_007_spread_b,90000,-5.2708916664123535,493.1499938964844,0.01636039838194847,0.19424833357334137,1.4239628314971924,0.23999999463558197,-0.6399999856948853,-2.799999952316284,-1.580818772315979,0.011017704382538795,-0.38674139976501465,0.13896389305591583,0.23999999463558197,1580.8399658203125,14.0,,10.0,,1.0,0.4
ppo_car_007_spread_b,100000,-4.807637691497803,370.3333435058594,,,1.4235974550247192,0.1599999964237213,-0.5600000023841858,-3.0,-1.1573253870010376,0.009331243112683296,-0.27136602997779846,0.07992033660411835,0.1599999964237213,1157.3399658203125,30.0,,13.0,,7.0,0.26
ppo_car_007_spread_b,110000,-4.0244550704956055,336.0400085449219,0.010341058485209942,0.1783921718597412,1.4222736358642578,0.2647058963775635,-0.5,-2.941176414489746,-0.988921582698822,0.0005342577351257205,-0.2379043698310852,0.12980477511882782,0.2647058963775635,988.941162109375,20.0,,8.0,,6.0,0.23529411764705882
ppo_car_007_spread_b,120000,-4.258418560028076,581.1666870117188,,,1.4217439889907837,0.4583333432674408,-0.7083333134651184,-2.0833332538604736,-1.7452105283737183,0.01666264608502388,-0.4077654480934143,0.23442642390727997,0.4583333432674408,1745.25,10.0,,11.0,,3.0,0.4583333333333333
ppo_car_007_spread_b,130000,-4.824207305908203,497.1176452636719,0.015811916440725327,0.05285479873418808,1.4203147888183594,0.1428571492433548,-0.4761904776096344,-2.6190476417541504,-1.612505316734314,0.010697591118514538,-0.374533087015152,0.07003684341907501,0.1428571492433548,1612.5238037109375,11.0,,9.0,,1.0,0.42857142857142855
ppo_car_007_spread_b,140000,-4.457480430603027,413.77777099609375,,,1.4196408987045288,0.3870967626571655,-0.7419354915618896,-2.5806450843811035,-1.4441348314285278,0.0031228475272655487,-0.34710967540740967,0.17688171565532684,0.3870967626571655,1444.1612548828125,16.0,,10.0,,5.0,0.3225806451612903
ppo_car_007_spread_b,150000,-5.124591827392578,399.3599853515625,0.01728888973593712,0.15695741772651672,1.4184162616729736,0.29411765933036804,-0.529411792755127,-3.529411792755127,-1.1764283180236816,0.010059947147965431,-0.28791531920433044,0.154941126704216,0.29411765933036804,1176.441162109375,24.0,,7.0,,3.0,0.20588235294117646
ppo_car_007_spread_b,160000,-4.679902076721191,423.70587158203125,,,1.4177438020706177,0.2083333283662796,-0.4166666567325592,-3.125,-1.2008568048477173,0.0035225634928792715,-0.28097495436668396,0.08163819462060928,0.2083333283662796,1200.875,15.0,,6.0,,3.0,0.25
ppo_car_007_spread_b,170000,-4.667332172393799,337.9444580078125,0.016007710248231888,0.16325779259204865,1.4167966842651367,0.2926829159259796,-0.4878048896789551,-3.170731782913208,-1.1869539022445679,0.006891705561429262,-0.2851170003414154,0.15009243786334991,0.2926829159259796,1186.9755859375,26.0,,8.0,,7.0,0.1951219512195122
ppo_car_007_spread_b,180000,-4.116159439086914,281.9090881347656,,,1.4159830808639526,0.09090909361839294,-0.3636363744735718,-3.0681817531585693,-0.8468541502952576,0.005791902542114258,-0.20233498513698578,0.047938521951436996,0.09090909361839294,846.8636474609375,27.0,,11.0,,6.0,0.25
ppo_car_007_spread_b,190000,-5.128880023956299,508.7368469238281,0.022201893851161003,0.11684238910675049,1.4146511554718018,0.13636364042758942,-0.6818181872367859,-2.2727272510528564,-1.7606117725372314,0.016109393909573555,-0.4161352515220642,0.09365276247262955,0.13636364042758942,1760.6363525390625,10.0,,11.0,,1.0,0.5
ppo_car_007_spread_b,200000,-3.856189250946045,445.0,,,1.41329824924469,0.27272728085517883,-0.6363636255264282,-1.5909091234207153,-1.7006971836090088,0.006511200685054064,-0.3963020145893097,0.13727229833602905,0.27272728085517883,1700.727294921875,7.0,,10.0,,5.0,0.45454545454545453
ppo_car_007_spread_b,210000,-4.890164852142334,498.5,0.01518445648252964,0.11880196630954742,1.4124308824539185,0.44999998807907104,-0.8500000238418579,-2.25,-1.9962167739868164,0.01082700863480568,-0.47993719577789307,0.2248263657093048,0.44999998807907104,1996.25,9.0,,7.0,,4.0,0.35
ppo_car_007_spread_b,220000,-3.8754591941833496,439.0,,,1.4113712310791016,0.0357142873108387,-0.3928571343421936,-2.3214285373687744,-1.2561261653900146,0.005771661177277565,-0.29395923018455505,0.026025857776403427,0.0357142873108387,1256.142822265625,13.0,,11.0,,4.0,0.39285714285714285
ppo_car_007_spread_b,230000,-4.834721565246582,432.53570556640625,0.020263422280550003,0.06613040715456009,1.4113646745681763,0.28125,-0.59375,-2.8125,-1.5162845849990845,0.010486558079719543,-0.36091142892837524,0.140541672706604,0.28125,1516.3125,18.0,,10.0,,4.0,0.3125
ppo_car_007_spread_b,240000,-4.783186435699463,541.0908813476562,,,1.4113539457321167,0.3076923191547394,-0.7692307829856873,-2.307692289352417,-1.8335387706756592,0.007886280305683613,-0.4545038342475891,0.15230143070220947,0.3076923191547394,1833.576904296875,12.0,,10.0,,4.0,0.38461538461538464
ppo_car_007_spread_b,250000,-4.62493896484375,513.5,0.016910051926970482,0.09513391554355621,1.4113976955413818,0.2666666805744171,-0.6666666865348816,-2.0,-1.9201147556304932,0.019492218270897865,-0.4594496786594391,0.1322273313999176,0.2666666805744171,1920.13330078125,6.0,,8.0,,1.0,0.5333333333333333
ppo_car_007_spread_b,260000,-4.3177409172058105,552.8095092773438,,,1.4114843606948853,0.20000000298023224,-0.6399999856948853,-1.7999999523162842,-1.859329342842102,0.02768021821975708,-0.4263817071914673,0.10990043729543686,0.20000000298023224,1859.3599853515625,9.0,,12.0,,4.0,0.48
ppo_car_007_spread_b,270000,-4.975754737854004,568.375,0.017670772969722748,0.055265702307224274,1.4108374118804932,0.095238097012043,-0.6190476417541504,-2.3809523582458496,-1.734450340270996,0.007250016555190086,-0.4130186438560486,0.06277430802583694,0.095238097012043,1734.4761962890625,10.0,,9.0,,2.0,0.42857142857142855
ppo_car_007_spread_b,280000,-5.124128818511963,391.6666564941406,,,1.4090818166732788,0.125,-0.5625,-2.96875,-1.3232699632644653,0.017350265756249428,-0.3130793571472168,0.0778726115822792,0.125,1323.28125,19.0,,7.0,,6.0,0.21875
ppo_car_007_spread_b,290000,-4.219790458679199,494.5555419921875,0.01584635116159916,0.12973660230636597,1.4087318181991577,0.03999999910593033,-0.5600000023841858,-2.200000047683716,-1.4256983995437622,0.016394037753343582,-0.3398045301437378,0.03132843226194382,0.03999999910593033,1425.719970703125,11.0,,11.0,,3.0,0.44
