run_id,step,cumulative_reward,episode_length,policy_loss,value_loss,entropy,reward_checkpoint,reward_wrong_way,reward_wall,reward_step,reward_speed,reward_jerk
ppo_car_v01,10000,-5.442038059234619,369.86956787109375,,,1.418938398361206,0.12903225421905518,-0.5483871102333069,-3.548387050628662,-1.1006014347076416,0.003631778061389923,-0.2643051743507385
ppo_car_v01,20000,-5.340297698974609,662.272705078125,,,1.4189382791519165,0.3333333432674408,-1.0,-1.6666666269302368,-2.4316258430480957,0.0016952011501416564,-0.5503858327865601
ppo_car_v01,30000,-4.886104106903076,450.3461608886719,0.01645578071475029,0.1415729820728302,1.4159783124923706,0.3214285671710968,-0.7142857313156128,-3.392857074737549,-1.6696829795837402,0.0030329162254929543,-0.39995408058166504
ppo_car_v01,40000,-5.150539398193359,425.0,,,1.415878176689148,0.3333333432674408,-0.8888888955116272,-3.3333332538604736,-1.7026405334472656,0.004455214831978083,-0.3969058096408844
ppo_car_v01,50000,-5.442735195159912,448.521728515625,0.01716928742825985,0.155650332570076,1.4145978689193726,0.52173912525177,-0.95652174949646,-3.2608695030212402,-1.796926498413086,0.006244683638215065,-0.4344390630722046
ppo_car_v01,60000,-5.339876651763916,290.82757568359375,,,1.4144361019134521,0.38235294818878174,-0.5882353186607361,-4.411764621734619,-0.9947216510772705,0.002366147004067898,-0.23954011499881744
ppo_car_v01,70000,-5.266685962677002,587.25,0.014983260072767735,0.18231622874736786,1.4117203950881958,0.6666666865348816,-1.1111111640930176,-2.777777671813965,-2.0908899307250977,0.0009104167693294585,-0.48165836930274963
ppo_car_v01,80000,-4.656126976013184,620.0,,,1.4112268686294556,0.7333333492279053,-1.2666666507720947,-1.3333333730697632,-2.979346990585327,0.006839814130216837,-0.6811293363571167
ppo_car_v01,90000,-5.622059345245361,401.55999755859375,0.01936650089919567,0.05622643977403641,1.4081000089645386,0.38461539149284363,-0.807692289352417,-3.846153736114502,-1.5462441444396973,0.005438045598566532,-0.3637080788612366
ppo_car_v01,100000,-4.2383952140808105,396.86956787109375,,,1.4074612855911255,0.13636364042758942,-0.7272727489471436,-2.5,-1.6614338159561157,0.0042314003221690655,-0.36416009068489075
ppo_car_v01,110000,-4.960141181945801,443.89654541015625,0.016463957726955414,0.13896650075912476,1.4070911407470703,0.3125,-0.65625,-3.28125,-1.6110408306121826,0.010006805881857872,-0.36247390508651733
ppo_car_v01,120000,-4.864579677581787,458.6499938964844,,,1.4069467782974243,0.3199999928474426,-0.6000000238418579,-3.4000000953674316,-1.469212293624878,0.0021696165204048157,-0.3442908525466919
ppo_car_v01,130000,-4.745659828186035,431.9666748046875,0.019655173644423485,0.12830226123332977,1.4074935913085938,0.4137931168079376,-0.7241379022598267,-2.931034564971924,-1.786677598953247,0.011843265034258366,-0.4067849814891815
ppo_car_v01,140000,-5.301555633544922,137.0370330810547,,,1.4077662229537964,0.2647058963775635,-0.4117647111415863,-5.0,-0.4372080862522125,0.005678935907781124,-0.10234406590461731
ppo_car_v01,150000,-4.866518497467041,315.6363525390625,0.020834187045693398,0.2045663446187973,1.4067223072052002,0.47826087474823,-0.5869565010070801,-4.130434989929199,-1.208285927772522,0.00422667944803834,-0.2750980854034424
ppo_car_v01,160000,-4.545524597167969,405.3636474609375,,,1.4060876369476318,0.2083333283662796,-0.6666666865348816,-3.125,-1.48831045627594,0.0029689334332942963,-0.3478414714336395
ppo_car_v01,170000,-4.613095283508301,448.8461608886719,0.017337637022137642,0.13017450273036957,1.4048845767974854,0.48148149251937866,-1.0,-2.9629628658294678,-1.7286300659179688,0.009049936197698116,-0.3864346444606781
ppo_car_v01,180000,-4.700408935546875,355.952392578125,,,1.4039952754974365,0.380952388048172,-0.761904776096344,-3.3333332538604736,-1.425270676612854,0.005925060249865055,-0.3264904022216797
ppo_car_v01,190000,-4.640885829925537,382.73077392578125,0.012206983752548695,0.13286858797073364,1.404564380645752,0.23333333432674408,-0.5666666626930237,-3.3333332538604736,-1.3290683031082153,0.0018325415439903736,-0.29509758949279785
ppo_car_v01,200000,-5.267142295837402,783.5,,,1.4051748514175415,0.4000000059604645,-0.8999999761581421,-2.0,-2.1967015266418457,0.007548355031758547,-0.4991470277309418
ppo_car_v01,210000,-4.706819534301758,386.25,0.025728952139616013,0.08271797746419907,1.4050283432006836,0.2380952388048172,-0.5714285969734192,-3.3333332538604736,-1.465032696723938,0.002421268727630377,-0.3414652347564697
ppo_car_v01,220000,-5.243290424346924,458.86956787109375,,,1.40486741065979,0.2800000011920929,-0.6399999856948853,-3.200000047683716,-1.6908082962036133,0.004128279164433479,-0.3772332966327667
ppo_car_v01,230000,-3.9338464736938477,615.0,0.013115031644701958,0.06803668290376663,1.4041069746017456,0.20000000298023224,-0.6499999761581421,-2.0,-1.8476771116256714,0.0032570669427514076,-0.4073340594768524
ppo_car_v01,240000,-4.59352445602417,420.97296142578125,,,1.402984857559204,0.38461539149284363,-0.7692307829856873,-3.461538553237915,-1.5966886281967163,0.00675622746348381,-0.3541645109653473
ppo_car_v01,250000,-4.691906929016113,405.0,0.015534492209553719,0.12152759730815887,1.403252124786377,0.14814814925193787,-0.5185185074806213,-2.9629628658294678,-1.4426162242889404,0.0043963221833109856,-0.32605913281440735
ppo_car_v01,260000,-4.8926286697387695,525.875,,,1.4037610292434692,0.0476190485060215,-0.5714285969734192,-2.6190476417541504,-1.605509638786316,0.0060693444684147835,-0.36778369545936584
ppo_car_v01,270000,-3.8950605392456055,419.76470947265625,0.01752273552119732,0.0700925886631012,1.4039654731750488,0.0,-0.6875,-2.5,-1.7866727113723755,0.006921639200299978,-0.3831113874912262
ppo_car_v01,280000,-4.90123987197876,457.5833435058594,,,1.4044573307037354,0.36000001430511475,-0.6399999856948853,-3.200000047683716,-1.7582899332046509,0.00728862639516592,-0.3777621388435364
ppo_car_v01,290000,-3.9520812034606934,488.15789794921875,0.018911313265562057,0.0696752667427063,1.4038922786712646,0.07692307978868484,-0.4615384638309479,-2.692307710647583,-1.4289815425872803,0.0023994394578039646,-0.30849963426589966
ppo_car_v01,300000,-5.1596293449401855,612.3529663085938,,,1.4023092985153198,0.42105263471603394,-0.7894737124443054,-2.1052632331848145,-2.1951138973236084,0.012979593127965927,-0.4879109561443329
ppo_car_v01,310000,-4.246766090393066,520.7647094726562,0.018643377348780632,0.060295891016721725,1.4019391536712646,0.11764705926179886,-0.6470588445663452,-2.058823585510254,-2.084779739379883,0.003567522158846259,-0.4580826759338379
ppo_car_v01,320000,-4.798403263092041,280.82757568359375,,,1.3999272584915161,0.1515151560306549,-0.39393940567970276,-4.242424011230469,-0.9876220226287842,0.005442108027637005,-0.21881502866744995
ppo_car_v01,330000,-4.873391628265381,571.0,0.020557790994644165,0.12952376902103424,1.3998682498931885,0.4000000059604645,-0.7599999904632568,-2.4000000953674316,-2.2861030101776123,0.008143468759953976,-0.49701327085494995
ppo_car_v01,340000,-4.806711196899414,240.35897827148438,,,1.3993219137191772,0.13953489065170288,-0.302325576543808,-4.30232572555542,-0.8721358776092529,0.006786232348531485,-0.18946172297000885
ppo_car_v01,350000,-4.40069580078125,370.21429443359375,0.019440585747361183,0.18281947076320648,1.3993206024169922,0.1875,-0.46875,-3.4375,-1.297322392463684,0.005101070739328861,-0.27704936265945435
ppo_car_v01,360000,-4.605085372924805,511.27777099609375,,,1.3992787599563599,0.20000000298023224,-0.6000000238418579,-2.5,-1.8435205221176147,0.003641255432739854,-0.40571218729019165
ppo_car_v01,370000,-4.024442195892334,466.29412841796875,,,1.3992788791656494,0.0714285746216774,-0.7857142686843872,-1.4285714626312256,-2.267831325531006,0.001692164340056479,-0.47787198424339294
ppo_car_v01,380000,-5.1876373291015625,606.25,0.013446354307234287,0.054197460412979126,1.396694302558899,0.2083333283662796,-0.8333333134651184,-2.5,-2.0233771800994873,0.008190207183361053,-0.4339199364185333
ppo_car_v01,390000,-4.66412353515625,524.8695678710938,,,1.396694302558899,0.4000000059604645,-0.9200000166893005,-2.200000047683716,-1.9345645904541016,0.004687031265348196,-0.4112890958786011
ppo_car_v01,400000,-4.661660194396973,272.1176452636719,0.016367772594094276,0.07816159725189209,1.395067572593689,0.3055555522441864,-0.6944444179534912,-4.027777671813965,-1.0286545753479004,0.005861472804099321,-0.22972474992275238
ppo_car_v01,410000,-4.6821370124816895,359.6666564941406,,,1.3949344158172607,0.19230769574642181,-0.6153846383094788,-3.461538553237915,-1.3304473161697388,0.0066734058782458305,-0.27274754643440247
ppo_car_v01,420000,-4.599089622497559,601.6842041015625,0.012930585071444511,0.17114000022411346,1.3943235874176025,0.3636363744735718,-0.6818181872367859,-2.2727272510528564,-2.0798208713531494,0.01165772881358862,-0.44835442304611206
ppo_car_v01,430000,-5.317217826843262,463.8148193359375,,,1.3942434787750244,0.3333333432674408,-0.8148148059844971,-3.1481480598449707,-1.8581151962280273,0.007507269736379385,-0.39284032583236694
ppo_car_v01,440000,-4.2505669593811035,444.3333435058594,0.018937578424811363,0.10161196440458298,1.3943554162979126,0.15000000596046448,-0.6000000238418579,-2.25,-1.8690826892852783,0.008987591601908207,-0.40336379408836365
ppo_car_v01,450000,-4.310496807098389,525.1538696289062,,,1.3943887948989868,0.1111111119389534,-0.5555555820465088,-2.5,-1.519759178161621,0.006205734331160784,-0.3228400647640228
ppo_car_v01,460000,-4.714632511138916,442.629638671875,0.020663579925894737,0.03841029480099678,1.3945366144180298,0.47999998927116394,-0.8799999952316284,-2.799999952316284,-1.9130420684814453,0.007611340377479792,-0.4241901636123657
ppo_car_v01,470000,-4.641665458679199,628.1666870117188,,,1.3945719003677368,0.1111111119389534,-0.6111111044883728,-2.222222328186035,-1.6778130531311035,0.0028642602264881134,-0.3650737702846527
ppo_car_v01,480000,-4.851951599121094,642.75,0.017043927684426308,0.07422641664743423,1.3933228254318237,0.25,-0.625,-2.1875,-1.931276798248291,0.00020687407231889665,-0.3967317044734955
ppo_car_v01,490000,-3.7841150760650635,458.3043518066406,,,1.3928548097610474,0.4285714328289032,-0.9047619104385376,-2.6190476417541504,-1.994624376296997,0.0041007730178534985,-0.42259982228279114
ppo_car_v01,500000,-4.51794958114624,591.625,0.017481066286563873,0.04012318328022957,1.392427921295166,0.3125,-0.6875,-1.875,-2.3681983947753906,0.006257231347262859,-0.5297138094902039
ppo_car_v01,510000,-5.07988166809082,399.6206970214844,,,1.3921926021575928,0.3333333432674408,-0.6363636255264282,-3.3333332538604736,-1.4074909687042236,0.003900033887475729,-0.3043753504753113
ppo_car_v01,520000,-4.56668758392334,497.20001220703125,0.015109645202755928,0.11176608502864838,1.393283486366272,0.21739129722118378,-0.5652173757553101,-2.6086957454681396,-1.7320648431777954,0.006546872667968273,-0.37603840231895447
ppo_car_v01,530000,-3.4167284965515137,557.611083984375,,,1.3939052820205688,0.22727273404598236,-0.4545454680919647,-2.2727272510528564,-1.8253813982009888,0.0032333710696548223,-0.38874179124832153
ppo_car_v01,540000,-4.753431797027588,532.4583129882812,0.011868630535900593,0.048464469611644745,1.3930357694625854,0.37037035822868347,-0.6296296119689941,-2.777777671813965,-1.8953742980957031,0.005566936451941729,-0.414963960647583
ppo_car_v01,550000,-4.100580215454102,458.0833435058594,,,1.3923536539077759,0.125,-0.4583333432674408,-2.2916667461395264,-1.8347641229629517,0.003956861328333616,-0.39399364590644836
ppo_car_v01,560000,-5.033707618713379,331.7096862792969,0.022687431424856186,0.08484648168087006,1.3922308683395386,0.18918919563293457,-0.6756756901741028,-3.9189188480377197,-1.1124746799468994,0.003890125546604395,-0.2425285130739212
ppo_car_v01,570000,-3.640014410018921,479.6842041015625,,,1.3921126127243042,0.1428571492433548,-0.5714285969734192,-2.142857074737549,-1.7324082851409912,0.002012667478993535,-0.36483034491539
ppo_car_v01,580000,-4.445947647094727,374.9047546386719,0.019903026521205902,0.10233835875988007,1.3925193548202515,0.0,-0.37037035822868347,-3.1481480598449707,-1.1684683561325073,0.0037357539404183626,-0.25644102692604065
ppo_car_v01,590000,-4.224075794219971,529.9473876953125,,,1.392873764038086,0.15000000596046448,-0.699999988079071,-2.25,-2.0153560638427734,0.0030436289962381124,-0.450304239988327
