run_id,step,cumulative_reward,episode_length,policy_loss,value_loss,entropy,reward_checkpoint,reward_wrong_way,reward_wall,reward_step,reward_speed,reward_jerk,reward_progress,markers_per_episode,physics_steps_charged,wall_contacts,lateral_clearance,end_wallcontact,end_lapscompleted,end_stalled,end_steplimit,end_trackswapped,stalled_share
ppo_car_009_bc_s13,10000,-5.340252876281738,443.47369384765625,,,1.4189382791519165,0.1315789520740509,-0.44736841320991516,-2.236842155456543,-0.8889897465705872,0.004736132919788361,-0.22013653814792633,0.06514019519090652,0.1315789520740509,889.0,0.44736841320991516,0.598039984703064,17.0,,9.0,,12.0,0.23684210526315788
ppo_car_009_bc_s13,20000,-4.481136322021484,337.4482727050781,,,1.4189382791519165,0.21875,-0.65625,-2.65625,-1.2252599000930786,0.005953981075435877,-0.28894758224487305,0.09434633702039719,0.21875,1225.28125,0.53125,0.5179455280303955,17.0,,11.0,,4.0,0.34375
ppo_car_009_bc_s13,30000,-4.629062652587891,234.60000610351562,0.012987310066819191,0.176758274435997,1.4161453247070312,0.2857142984867096,-0.4571428596973419,-3.5714285373687744,-0.8061885833740234,0.012204167433083057,-0.1906772404909134,0.16478918492794037,0.2857142984867096,806.2000122070312,0.7142857313156128,0.44119513034820557,25.0,,4.0,,6.0,0.11428571428571428
ppo_car_009_bc_s13,40000,-4.705208778381348,736.3846435546875,,,1.4159334897994995,1.1176470518112183,-1.470588207244873,-1.7647058963775635,-2.608039379119873,0.01957135833799839,-0.6191025376319885,0.5580914616584778,1.1176470518112183,2608.11767578125,0.3529411852359772,0.47988826036453247,6.0,,8.0,2.0,1.0,0.47058823529411764
ppo_car_009_bc_s13,50000,-4.8070244789123535,488.45001220703125,0.01500678714364767,0.13631759583950043,1.4129574298858643,0.2800000011920929,-0.6000000238418579,-2.5999999046325684,-1.5650115013122559,0.027566222473978996,-0.36978679895401,0.18116654455661774,0.2800000011920929,1565.0400390625,0.5199999809265137,0.4902123212814331,13.0,,8.0,,4.0,0.32
ppo_car_009_bc_s13,60000,-4.513198375701904,496.5714416503906,,,1.4127967357635498,0.6153846383094788,-0.8846153616905212,-2.5,-1.607008934020996,0.009697879664599895,-0.36269256472587585,0.31361159682273865,0.6153846383094788,1607.0384521484375,0.5,0.4887842535972595,13.0,,10.0,,3.0,0.38461538461538464
ppo_car_009_bc_s13,70000,-4.511849880218506,377.8399963378906,0.01440876442939043,0.15072812139987946,1.411757230758667,0.2857142984867096,-0.7142857313156128,-2.6785714626312256,-1.3503427505493164,0.010849320329725742,-0.3065108358860016,0.154602512717247,0.2857142984867096,1350.357177734375,0.6071428656578064,0.5100376605987549,15.0,,9.0,,4.0,0.32142857142857145
ppo_car_009_bc_s13,80000,-4.341502666473389,334.8333435058594,,,1.4115639925003052,0.1764705926179886,-0.4117647111415863,-3.088235378265381,-0.9471945762634277,0.007251933217048645,-0.21970154345035553,0.0949685275554657,0.1764705926179886,947.2058715820312,0.6176470518112183,0.4194685220718384,21.0,,8.0,,5.0,0.23529411764705882
ppo_car_009_bc_s13,90000,-4.632739067077637,528.8695678710938,0.021738898009061813,0.11756547540426254,1.411338210105896,0.5483871102333069,-0.9032257795333862,-2.5806450843811035,-1.7649638652801514,0.024357115849852562,-0.40593600273132324,0.2946263551712036,0.5483871102333069,1765.0,0.5161290168762207,0.453020304441452,16.0,,10.0,2.0,3.0,0.3225806451612903
ppo_car_009_bc_s13,100000,-5.1150803565979,408.9032287597656,,,1.4112790822982788,0.4523809552192688,-0.8095238208770752,-3.095238208770752,-1.3520230054855347,0.012694892473518848,-0.30680644512176514,0.24228759109973907,0.4523809552192688,1352.047607421875,0.6428571343421936,0.4820357859134674,26.0,,8.0,2.0,6.0,0.19047619047619047
