run_id,step,cumulative_reward,episode_length,policy_loss,value_loss,entropy,reward_checkpoint,reward_wrong_way,reward_wall,reward_step,reward_speed,reward_jerk,end_wallcontact,end_lapscompleted,end_stalled,end_steplimit,end_trackswapped
ppo_car_wall_lo,10000,-2.7664620876312256,320.8800048828125,,,1.418938398361206,0.0476190485060215,-0.3571428656578064,-0.5,-0.7661120295524597,0.0007936095353215933,-0.1862788051366806,21.0,,8.0,,13.0
ppo_car_wall_lo,20000,-2.4694998264312744,314.4166564941406,,,1.4189382791519165,0.17391304671764374,-0.47826087474823,-0.6521739363670349,-0.9851583242416382,0.004320654086768627,-0.2311970293521881,30.0,,11.0,,5.0
ppo_car_wall_lo,30000,-3.436962127685547,595.8571166992188,0.01829630136489868,0.05699878931045532,1.419170618057251,0.375,-0.6875,-0.25,-2.0877885818481445,0.01211962103843689,-0.4936962425708771,4.0,,10.0,,2.0
ppo_car_wall_lo,40000,-2.360870599746704,299.34210205078125,,,1.4191778898239136,0.37735849618911743,-0.6037735939025879,-0.698113203048706,-0.8565107583999634,0.00375115848146379,-0.19434407353401184,37.0,,8.0,,8.0
ppo_car_wall_lo,50000,-3.0093441009521484,437.3999938964844,0.0176016166806221,0.02881481871008873,1.4175832271575928,0.0,-0.3888888955116272,-0.4444444477558136,-1.4598745107650757,0.004576425999403,-0.3307270407676697,8.0,,8.0,,2.0
ppo_car_wall_lo,60000,-4.349276542663574,735.0714111328125,,,1.4173545837402344,0.42105263471603394,-0.8421052694320679,-0.3684210479259491,-2.169106960296631,0.0051435683853924274,-0.5158370733261108,7.0,,11.0,,1.0
ppo_car_wall_lo,70000,-3.6346113681793213,643.1764526367188,0.019389474764466286,0.014993417076766491,1.416276216506958,0.5,-0.7083333134651184,-0.4166666567325592,-1.8248003721237183,0.006086909212172031,-0.4232428967952728,10.0,,13.0,,1.0
ppo_car_wall_lo,80000,-2.291442394256592,330.69232177734375,,,1.4160271883010864,0.35483869910240173,-0.5161290168762207,-0.4838709533214569,-1.10379159450531,0.0022963539231568575,-0.26224249601364136,15.0,,8.0,,8.0
ppo_car_wall_lo,90000,-3.105181932449341,421.0384521484375,0.018404264003038406,0.016092201694846153,1.4143764972686768,0.3125,-0.65625,-0.65625,-1.3704365491867065,0.005897885654121637,-0.3151823878288269,21.0,,8.0,,3.0
ppo_car_wall_lo,100000,-2.622760534286499,362.4814758300781,,,1.4138792753219604,0.22857142984867096,-0.48571428656578064,-0.6285714507102966,-1.1209595203399658,0.008503980003297329,-0.25431859493255615,22.0,,9.0,,4.0
ppo_car_wall_lo,110000,-2.5737898349761963,344.4230651855469,0.019404033198952675,0.02555893361568451,1.4129430055618286,0.35483869910240173,-0.5806451439857483,-0.6451612710952759,-1.1527609825134277,0.005968392826616764,-0.26384153962135315,20.0,,6.0,,5.0
ppo_car_wall_lo,120000,-2.566408157348633,400.4166564941406,,,1.4125823974609375,0.2068965584039688,-0.4137931168079376,-0.4482758641242981,-1.3273247480392456,0.001697324332781136,-0.2811061143875122,13.0,,11.0,,5.0
ppo_car_wall_lo,130000,-2.8741400241851807,428.1428527832031,0.01726943999528885,0.01482565887272358,1.4115476608276367,0.4137931168079376,-0.6206896305084229,-0.6206896305084229,-1.2428030967712402,0.009419402107596397,-0.29752081632614136,18.0,,9.0,,2.0
ppo_car_wall_lo,140000,-4.717630863189697,794.0908813476562,,,1.4110010862350464,0.2631579041481018,-0.6842105388641357,-0.4736842215061188,-1.8410056829452515,8.30548469821224e-06,-0.4176383316516876,9.0,,9.0,,1.0
ppo_car_wall_lo,150000,-2.7507026195526123,357.5,0.010530349798500538,0.01410289853811264,1.4100468158721924,0.2083333283662796,-0.5,-0.625,-1.1339985132217407,0.007274141535162926,-0.2591332197189331,30.0,,10.0,,8.0
ppo_car_wall_lo,160000,-3.893319606781006,605.5555419921875,,,1.4094276428222656,0.8999999761581421,-1.25,-0.6499999761581421,-2.183109760284424,0.015006928704679012,-0.48693931102752686,13.0,,6.0,,1.0
ppo_car_wall_lo,170000,-2.2837812900543213,318.8333435058594,0.014491397887468338,0.023136353120207787,1.4090757369995117,0.37837839126586914,-0.5135135054588318,-0.5945945978164673,-1.0316013097763062,0.0055824327282607555,-0.22442905604839325,22.0,,8.0,,7.0
ppo_car_wall_lo,180000,-4.396927833557129,740.5555419921875,,,1.4088135957717896,0.3636363744735718,-0.8181818127632141,-0.27272728085517883,-2.4234859943389893,3.384717638255097e-05,-0.5350528955459595,3.0,,6.0,,2.0
ppo_car_wall_lo,190000,-3.9421374797821045,657.8947143554688,0.015509200282394886,0.015754347667098045,1.4083415269851685,0.5,-0.807692289352417,-0.4615384638309479,-1.9249097108840942,0.0162153709679842,-0.432874470949173,12.0,,11.0,,3.0
ppo_car_wall_lo,200000,-3.7140026092529297,617.2142944335938,,,1.407813310623169,0.3333333432674408,-0.6666666865348816,-0.4000000059604645,-2.3080973625183105,0.00565885566174984,-0.4984497129917145,6.0,,9.0,,
ppo_car_wall_lo,210000,-2.944779872894287,366.75,0.018498726189136505,0.018249796703457832,1.407071828842163,0.23999999463558197,-0.6399999856948853,-0.7200000286102295,-1.1722674369812012,0.004224830772727728,-0.26364678144454956,18.0,,1.0,,6.0
ppo_car_wall_lo,220000,-3.156068801879883,428.2592468261719,,,1.4060555696487427,0.1764705926179886,-0.7058823704719543,-0.529411792755127,-1.3628346920013428,0.002594207413494587,-0.2941346764564514,18.0,,13.0,,3.0
ppo_car_wall_lo,230000,-4.082794189453125,678.7894897460938,0.015461806207895279,0.01665971428155899,1.4055123329162598,0.3913043439388275,-0.9130434989929199,-0.30434781312942505,-2.2457408905029297,0.010453092865645885,-0.4861052632331848,7.0,,14.0,,2.0
ppo_car_wall_lo,240000,-3.1280229091644287,448.047607421875,,,1.4046097993850708,0.14814814925193787,-0.48148149251937866,-0.5555555820465088,-1.3948758840560913,0.005263955798000097,-0.30183327198028564,15.0,,7.0,,5.0
ppo_car_wall_lo,250000,-3.049271583557129,442.22222900390625,0.01559759397059679,0.013356144540011883,1.4043858051300049,0.13636364042758942,-0.6363636255264282,-0.4545454680919647,-1.4477455615997314,0.000970684748608619,-0.31914132833480835,10.0,,9.0,,3.0
ppo_car_wall_lo,260000,-4.4076690673828125,748.8461303710938,,,1.4039655923843384,0.1666666716337204,-0.6666666865348816,-0.2777777910232544,-2.166121244430542,2.208018304372672e-05,-0.4621160328388214,5.0,,11.0,,2.0
ppo_car_wall_lo,270000,-3.51921010017395,594.3333129882812,0.018832668662071228,0.013088180683553219,1.4035967588424683,0.25,-0.625,-0.3125,-2.230759620666504,0.02678772434592247,-0.4702351689338684,5.0,,9.0,,2.0
