t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.01080,0.0,1.0000,-31.5342,0.5000,-12.8132,151.616,ppo_car_spread_a_sampling
0.0400,0.00000,0.0000,0.0000,0.00035,0.00035,0.00050,0.0,1.0000,-31.5342,0.4982,-12.8133,151.616,ppo_car_spread_a_sampling
0.0600,0.00000,0.0000,0.0000,0.00035,0.00036,0.00047,0.0,1.0000,-31.5341,0.4960,-12.8133,151.616,ppo_car_spread_a_sampling
0.0800,0.00000,0.0000,0.0000,0.00035,0.00036,0.00045,0.0,1.0000,-31.5341,0.4935,-12.8133,151.616,ppo_car_spread_a_sampling
0.1000,0.00000,0.0000,0.0000,0.00036,0.00036,0.00042,0.0,1.0000,-31.5341,0.4909,-12.8133,151.616,ppo_car_spread_a_sampling
0.1200,-0.23844,0.7837,0.0000,0.00036,0.00035,0.00040,411.4,1.0000,-31.5341,0.4884,-12.8133,151.616,ppo_car_spread_a_sampling
0.1400,-0.23844,0.7837,0.0000,0.08080,0.08088,0.11552,411.4,1.0000,-31.5332,0.4859,-12.8148,151.612,ppo_car_spread_a_sampling
0.1600,-0.26024,0.7694,0.0000,0.14511,0.14525,0.53823,404.0,1.0000,-31.5316,0.4836,-12.8173,151.606,ppo_car_spread_a_sampling
0.1800,-0.26024,0.7694,0.0000,0.22555,0.22582,0.48283,404.0,1.0000,-31.5292,0.4815,-12.8213,151.598,ppo_car_spread_a_sampling
0.2000,-0.26024,0.7694,0.0000,0.30231,0.30268,0.36708,404.0,1.0000,-31.5259,0.4796,-12.8266,151.583,ppo_car_spread_a_sampling
0.2200,-0.26024,0.7694,0.0000,0.37409,0.37457,0.64457,404.0,1.0000,-31.5218,0.4780,-12.8332,151.563,ppo_car_spread_a_sampling
