t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00002,0.0,1.0000,-23.2879,0.5000,-4.8903,150.873,ppo_car_spread_a_sampling
0.0400,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,-23.2879,0.5037,-4.8903,150.873,ppo_car_spread_a_sampling
0.0600,-0.24006,0.5185,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,-23.2879,0.5055,-4.8903,150.873,ppo_car_spread_a_sampling
0.0800,-0.33383,0.5185,0.0000,0.05367,0.05374,0.06481,272.2,1.0000,-23.2873,0.5057,-4.8913,150.871,ppo_car_spread_a_sampling
0.1000,-0.33383,0.5185,0.0000,0.09789,0.09810,0.22417,272.2,1.0000,-23.2862,0.5048,-4.8930,150.864,ppo_car_spread_a_sampling
0.1200,-0.42132,0.0000,0.5203,0.15145,0.15180,0.20309,272.2,1.0000,-23.2844,0.5030,-4.8956,150.852,ppo_car_spread_a_sampling
0.1400,-0.48991,0.0000,0.5203,0.15526,0.15571,0.00000,0.0,1.0000,-23.2826,0.5006,-4.8983,150.842,ppo_car_spread_a_sampling
0.1600,-0.53674,0.0000,0.5203,0.00270,0.00783,0.00000,0.0,1.0000,-23.2825,0.4978,-4.8982,150.843,ppo_car_spread_a_sampling
0.1800,-0.53674,0.0000,0.5203,-0.01826,0.01832,0.26236,-109.3,1.0000,-23.2827,0.4948,-4.8978,150.847,ppo_car_spread_a_sampling
0.2000,-0.60197,0.3208,0.0000,-0.03317,0.03331,0.22472,-109.3,1.0000,-23.2832,0.4918,-4.8971,150.851,ppo_car_spread_a_sampling
0.2200,-0.66900,0.3208,0.0000,-0.00329,0.00330,0.35451,168.4,1.0000,-23.2832,0.4889,-4.8971,150.855,ppo_car_spread_a_sampling
0.2400,-0.74399,0.3208,0.0000,0.01872,0.01889,0.45060,168.4,1.0000,-23.2830,0.4862,-4.8973,150.856,ppo_car_spread_a_sampling
0.2600,-0.76900,0.3208,0.0000,0.05333,0.05395,0.29353,168.4,1.0000,-23.2823,0.4836,-4.8982,150.846,ppo_car_spread_a_sampling
0.2800,-0.68800,0.0000,0.1548,0.08938,0.09055,0.23758,168.4,1.0000,-23.2812,0.4813,-4.8997,150.833,ppo_car_spread_a_sampling
0.3000,-0.61548,0.0000,0.1548,0.08470,0.08573,0.28008,-32.5,1.0000,-23.2801,0.4793,-4.9010,150.822,ppo_car_spread_a_sampling
0.3200,-0.54244,0.0000,0.1548,0.07680,0.07757,0.24665,-32.5,1.0000,-23.2791,0.4776,-4.9023,150.810,ppo_car_spread_a_sampling
0.3400,-0.47565,0.0000,0.1548,0.07755,0.07817,0.29866,-32.5,1.0000,-23.2782,0.4762,-4.9035,150.802,ppo_car_spread_a_sampling
