t,steering,throttle,brake,speed,speed_mag,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.5000,0.0000,0.000,unity
0.0400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4985,0.0000,0.000,unity
0.0600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4965,0.0000,0.000,unity
0.0800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4941,0.0000,0.000,unity
0.1000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4916,0.0000,0.000,unity
0.1200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4890,0.0000,0.000,unity
0.1400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4865,0.0000,0.000,unity
0.1600,0.00000,1.0000,0.0000,0.00000,0.00000,0.0000,0.4842,0.0000,0.000,unity
0.1800,0.00000,1.0000,0.0000,0.04134,0.04133,0.0000,0.4820,0.0009,0.000,unity
0.2000,0.00000,1.0000,0.0000,0.10098,0.10096,0.0000,0.4801,0.0030,0.000,unity
0.2200,0.00000,1.0000,0.0000,0.16117,0.16113,0.0000,0.4784,0.0063,0.000,unity
0.2400,0.00000,1.0000,0.0000,0.22174,0.22170,0.0000,0.4770,0.0109,0.000,unity
0.2600,0.00000,1.0000,0.0000,0.28256,0.28250,0.0000,0.4758,0.0167,0.000,unity
0.2800,0.00000,1.0000,0.0000,0.34349,0.34343,0.0000,0.4749,0.0238,0.000,unity
0.3000,0.00000,1.0000,0.0000,0.40446,0.40440,0.0000,0.4741,0.0321,0.000,unity
0.3200,0.00000,1.0000,0.0000,0.46539,0.46533,0.0000,0.4735,0.0416,0.000,unity
0.3400,0.00000,1.0000,0.0000,0.52622,0.52617,0.0000,0.4731,0.0523,0.000,unity
0.3600,0.00000,1.0000,0.0000,0.58692,0.58689,0.0000,0.4729,0.0642,0.000,unity
0.3800,0.00000,1.0000,0.0000,0.64747,0.64745,0.0000,0.4727,0.0773,0.000,unity
0.4000,0.00000,1.0000,0.0000,0.70784,0.70783,0.0000,0.4726,0.0916,0.000,unity
0.4200,0.00000,1.0000,0.0000,0.76804,0.76804,0.0000,0.4727,0.1071,0.000,unity
0.4400,0.00000,1.0000,0.0000,0.82805,0.82807,0.0000,0.4727,0.1238,0.000,unity
0.4600,0.00000,1.0000,0.0000,0.88790,0.88792,0.0000,0.4728,0.1416,0.000,unity
0.4800,0.00000,1.0000,0.0000,0.94757,0.94760,0.0000,0.4730,0.1607,0.000,unity
0.5000,0.00000,1.0000,0.0000,1.00709,1.00712,0.0000,0.4731,0.1809,0.000,unity
0.5200,0.00000,1.0000,0.0000,1.06645,1.06649,0.0000,0.4732,0.2023,0.000,unity
0.5400,0.00000,1.0000,0.0000,1.12569,1.12573,0.0000,0.4734,0.2248,0.000,unity
0.5600,0.00000,1.0000,0.0000,1.18480,1.18484,0.0000,0.4735,0.2485,0.000,unity
0.5800,0.00000,1.0000,0.0000,1.24380,1.24384,0.0000,0.4737,0.2734,0.000,unity
0.6000,0.00000,1.0000,0.0000,1.30271,1.30274,0.0000,0.4738,0.2995,0.000,unity
0.6200,0.00000,1.0000,0.0000,1.36153,1.36156,0.0000,0.4739,0.3267,0.000,unity
0.6400,0.00000,1.0000,0.0000,1.42027,1.42030,0.0000,0.4740,0.3551,0.000,unity
0.6600,0.00000,1.0000,0.0000,1.47896,1.47898,0.0000,0.4741,0.3846,0.000,unity
0.6800,0.00000,1.0000,0.0000,1.53759,1.53761,0.0000,0.4741,0.4154,0.000,unity
0.7000,0.00000,1.0000,0.0000,1.59617,1.59619,0.0000,0.4742,0.4473,0.000,unity
0.7200,0.00000,1.0000,0.0000,1.65472,1.65474,0.0000,0.4742,0.4803,0.000,unity
0.7400,0.00000,1.0000,0.0000,1.71324,1.71326,0.0000,0.4742,0.5145,0.000,unity
0.7600,0.00000,1.0000,0.0000,1.77174,1.77175,0.0000,0.4743,0.5500,0.000,unity
0.7800,0.00000,1.0000,0.0000,1.83022,1.83023,0.0000,0.4743,0.5865,0.000,unity
0.8000,0.00000,1.0000,0.0000,1.88868,1.88870,0.0000,0.4743,0.6243,0.000,unity
