t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.5000,0.0000,0.000,unity
0.0400,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4985,0.0000,0.000,unity
0.0600,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4965,0.0000,0.000,unity
0.0800,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4941,0.0000,0.000,unity
0.1000,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4916,0.0000,0.000,unity
0.1200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4890,0.0000,0.000,unity
0.1400,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4865,0.0000,0.000,unity
0.1600,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4842,0.0000,0.000,unity
0.1800,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4820,0.0000,0.000,unity
0.2000,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4801,0.0000,0.000,unity
0.2200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4784,0.0000,0.000,unity
0.2400,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4770,0.0000,0.000,unity
0.2600,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4758,0.0000,0.000,unity
0.2800,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4749,0.0000,0.000,unity
0.3000,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4741,0.0000,0.000,unity
0.3200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4735,0.0000,0.000,unity
0.3400,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,0.0000,0.4731,0.0000,0.000,unity
0.3600,0.00000,1.0000,0.0000,0.00000,0.00000,0.00000,525.0,1.0000,0.0000,0.4729,0.0000,0.000,unity
0.3800,0.00000,1.0000,0.0000,0.09509,0.09509,0.14481,525.0,1.0000,0.0000,0.4727,0.0020,0.000,unity
0.4000,0.00000,1.0000,0.0000,0.19130,0.19130,0.34032,525.0,1.0000,0.0000,0.4726,0.0060,0.000,unity
0.4200,0.00000,1.0000,0.0000,0.28425,0.28425,1.39698,525.0,1.0000,0.0000,0.4727,0.0119,0.000,unity
0.4400,0.00000,1.0000,0.0000,0.38050,0.38050,0.72781,525.0,1.0000,0.0000,0.4727,0.0197,0.000,unity
0.4600,0.00000,1.0000,0.0000,0.47150,0.47151,0.93120,525.0,1.0000,0.0000,0.4728,0.0294,0.000,unity
0.4800,0.00000,1.0000,0.0000,0.54427,0.54428,2.55125,525.0,1.0000,0.0000,0.4730,0.0406,0.000,unity
0.5000,0.00000,1.0000,0.0000,0.63986,0.63988,1.82314,525.0,1.0000,0.0000,0.4731,0.0537,0.000,unity
0.5200,0.00000,1.0000,0.0000,0.75309,0.75312,2.41147,525.0,1.0000,0.0000,0.4732,0.0690,0.000,unity
0.5400,0.00000,1.0000,0.0000,0.81115,0.81118,2.89873,525.0,1.0000,0.0000,0.4734,0.0855,0.000,unity
0.5600,0.00000,1.0000,0.0000,0.97448,0.97451,1.41177,525.0,1.0000,0.0000,0.4735,0.1053,0.000,unity
0.5800,0.00000,1.0000,0.0000,1.07748,1.07752,1.67639,525.0,1.0000,0.0000,0.4737,0.1272,0.000,unity
0.6000,0.00000,1.0000,0.0000,1.16937,1.16941,1.74096,525.0,1.0000,0.0000,0.4738,0.1508,0.000,unity
0.6200,0.00000,1.0000,0.0000,1.25279,1.25284,1.92233,525.0,1.0000,0.0000,0.4739,0.1761,0.000,unity
0.6400,0.00000,1.0000,0.0000,1.35352,1.35357,1.99574,525.0,1.0000,0.0000,0.4740,0.2034,0.000,unity
0.6600,0.00000,1.0000,0.0000,1.43063,1.43068,2.75310,525.0,1.0000,0.0000,0.4741,0.2322,0.000,unity
0.6800,0.00000,1.0000,0.0000,1.55898,1.55903,1.58970,525.0,1.0000,0.0000,0.4741,0.2635,0.000,unity
0.7000,0.00000,1.0000,0.0000,1.64649,1.64654,2.16143,525.0,1.0000,0.0000,0.4742,0.2965,0.000,unity
0.7200,0.00000,1.0000,0.0000,1.76868,1.76873,1.28265,525.0,1.0000,0.0000,0.4742,0.3320,0.000,unity
0.7400,0.00000,1.0000,0.0000,1.78223,1.78228,3.72036,525.0,1.0000,0.0000,0.4742,0.3677,0.000,unity
0.7600,0.00000,1.0000,0.0000,1.87934,1.87938,4.08405,525.0,1.0000,0.0000,0.4743,0.4053,0.000,unity
0.7800,0.00000,1.0000,0.0000,2.01635,2.01640,3.34552,525.0,1.0000,0.0000,0.4743,0.4456,0.000,unity
0.8000,0.00000,1.0000,0.0000,2.09013,2.09018,4.22046,525.0,1.0000,0.0000,0.4743,0.4874,0.000,unity
0.8200,0.00000,1.0000,0.0000,2.16376,2.16381,4.75679,525.0,1.0000,0.0000,0.4743,0.5306,0.000,unity
0.8400,0.00000,1.0000,0.0000,2.31104,2.31109,3.06273,525.0,1.0000,0.0000,0.4743,0.5768,0.000,unity
0.8600,0.00000,1.0000,0.0000,2.35832,2.35836,4.87820,525.0,1.0000,0.0000,0.4743,0.6239,0.000,unity
