t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,traction,x,y,z,yaw_deg,source
0.9000,0.00000,1.0000,0.0000,2.47050,2.47051,3.15331,222.0,1.0000,0.4229,0.0000,0.4743,1.1511,0.000,unity
0.9200,0.00000,1.0000,0.0000,2.51389,2.51389,4.38604,0.0,1.0000,0.0000,0.0000,0.4743,1.2013,0.000,unity
0.9400,0.00000,1.0000,0.0000,2.49774,2.49775,3.21223,199.9,1.0000,0.3807,0.0000,0.4742,1.2511,0.000,unity
0.9600,0.00000,1.0000,0.0000,2.51754,2.51755,4.27668,0.0,1.0000,0.0000,0.0000,0.4742,1.3013,0.000,unity
0.9800,0.00000,1.0000,0.0000,2.54139,2.54139,3.23740,212.8,1.0000,0.4053,0.0000,0.4742,1.3520,0.000,unity
1.0000,0.00000,1.0000,0.0000,2.56373,2.56374,4.51717,0.0,1.0000,0.0000,0.0000,0.4742,1.4031,0.000,unity
1.0200,0.00000,1.0000,0.0000,2.57270,2.57271,3.29623,193.5,1.0000,0.3686,0.0000,0.4742,1.4545,0.000,unity
1.0400,0.00000,1.0000,0.0000,2.58790,2.58790,4.49995,0.0,1.0000,0.0000,0.0000,0.4742,1.5061,0.000,unity
1.0600,0.00000,1.0000,0.0000,2.61227,2.61227,3.32726,199.5,1.0000,0.3800,0.0000,0.4742,1.5583,0.000,unity
1.0800,0.00000,1.0000,0.0000,2.62506,2.62506,4.53353,0.0,1.0000,0.0000,0.0000,0.4742,1.6107,0.000,unity
1.1000,0.00000,1.0000,0.0000,2.65049,2.65049,3.36959,196.6,1.0000,0.3745,0.0000,0.4742,1.6636,0.000,unity
1.1200,0.00000,1.0000,0.0000,2.67095,2.67095,4.49884,0.0,1.0000,0.0000,0.0000,0.4742,1.7170,0.000,unity
1.1400,0.00000,1.0000,0.0000,2.68462,2.68462,3.41696,187.4,1.0000,0.3569,0.0000,0.4742,1.7706,0.000,unity
1.1600,0.00000,1.0000,0.0000,2.70062,2.70062,4.50151,0.0,1.0000,0.0000,0.0000,0.4742,1.8246,0.000,unity
1.1800,0.00000,1.0000,0.0000,2.72742,2.72742,3.45023,194.0,1.0000,0.3696,0.0000,0.4742,1.8791,0.000,unity
1.2000,0.00000,1.0000,0.0000,2.77503,2.77503,4.33534,0.0,1.0000,0.0000,0.0000,0.4742,1.9347,0.000,unity
1.2200,0.00000,1.0000,0.0000,2.74925,2.74925,3.49834,175.6,1.0000,0.3346,0.0000,0.4742,1.9896,0.000,unity
1.2400,0.00000,1.0000,0.0000,2.76421,2.76421,4.54655,0.0,1.0000,0.0000,0.0000,0.4742,2.0449,0.000,unity
1.2600,0.00000,1.0000,0.0000,2.78872,2.78872,3.54382,171.4,1.0000,0.3265,0.0000,0.4742,2.1007,0.000,unity
1.2800,0.00000,1.0000,0.0000,2.79703,2.79704,4.51315,0.0,1.0000,0.0000,0.0000,0.4742,2.1566,0.000,unity
1.3000,0.00000,1.0000,0.0000,2.81861,2.81861,3.58520,163.4,1.0000,0.3112,0.0000,0.4742,2.2130,0.000,unity
1.3200,0.00000,1.0000,0.0000,2.82923,2.82923,4.47364,0.0,1.0000,0.0000,0.0000,0.4742,2.2696,0.000,unity
1.3400,0.00000,1.0000,0.0000,2.85073,2.85073,3.61976,161.7,1.0000,0.3080,0.0000,0.4742,2.3266,0.000,unity
1.3600,0.00000,1.0000,0.0000,2.87834,2.87834,4.43765,0.0,1.0000,0.0000,0.0000,0.4742,2.3842,0.000,unity
1.3800,0.00000,1.0000,0.0000,2.90772,2.90772,3.60714,210.4,1.0000,0.4008,0.0000,0.4742,2.4424,0.000,unity
1.4000,0.00000,1.0000,0.0000,2.94146,2.94146,4.11911,0.0,1.0000,0.0000,0.0000,0.4742,2.5012,0.000,unity
1.4200,0.00000,1.0000,0.0000,2.90817,2.90818,3.72301,129.6,1.0000,0.2469,0.0000,0.4742,2.5594,0.000,unity
1.4400,0.00000,1.0000,0.0000,2.91801,2.91801,4.62019,0.0,1.0000,0.0000,0.0000,0.4742,2.6177,0.000,unity
1.4600,0.00000,1.0000,0.0000,2.93995,2.93995,3.73258,145.2,1.0000,0.2765,0.0000,0.4742,2.6765,0.000,unity
