t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,traction,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,1.0000,0.0000,0.5000,0.0000,0.000,unity
0.0400,0.00000,1.0000,0.0000,0.00000,0.00000,0.00000,525.0,1.0000,1.0000,0.0000,0.4985,0.0000,0.000,unity
0.0600,0.00000,1.0000,0.0000,0.08854,0.08852,0.47095,432.3,1.0000,0.8234,0.0000,0.4964,0.0019,0.000,unity
0.0800,0.00000,1.0000,0.0000,0.17532,0.17527,0.36149,525.0,1.0000,1.0000,0.0000,0.4941,0.0055,0.000,unity
0.1000,0.00000,1.0000,0.0000,0.27362,0.27353,0.35395,525.0,1.0000,1.0000,0.0000,0.4916,0.0112,0.000,unity
0.1200,0.00000,1.0000,0.0000,0.36116,0.36102,0.67687,478.9,1.0000,0.9122,0.0000,0.4890,0.0186,0.000,unity
0.1400,0.00000,1.0000,0.0000,0.46039,0.46020,0.41495,525.0,1.0000,1.0000,0.0000,0.4866,0.0281,0.000,unity
0.1600,0.00000,1.0000,0.0000,0.55111,0.55087,0.71034,525.0,1.0000,1.0000,0.0000,0.4842,0.0394,0.000,unity
0.1800,0.00000,1.0000,0.0000,0.65000,0.64972,0.71671,525.0,1.0000,1.0000,0.0000,0.4821,0.0527,0.000,unity
0.2000,0.00000,1.0000,0.0000,0.74612,0.74583,0.82362,525.0,1.0000,1.0000,0.0000,0.4802,0.0679,0.000,unity
0.2200,0.00000,1.0000,0.0000,0.84255,0.84226,0.92864,525.0,1.0000,1.0000,0.0000,0.4785,0.0851,0.000,unity
0.2400,0.00000,1.0000,0.0000,0.93893,0.93865,1.03389,525.0,1.0000,1.0000,0.0000,0.4770,0.1041,0.000,unity
0.2600,0.00000,1.0000,0.0000,1.03529,1.03503,1.13924,525.0,1.0000,1.0000,0.0000,0.4758,0.1251,0.000,unity
0.2800,0.00000,1.0000,0.0000,1.13162,1.13140,1.24471,525.0,1.0000,1.0000,0.0000,0.4748,0.1479,0.000,unity
0.3000,0.00000,1.0000,0.0000,1.22793,1.22774,1.35028,525.0,1.0000,1.0000,0.0000,0.4741,0.1727,0.000,unity
0.3200,0.00000,1.0000,0.0000,1.32421,1.32407,1.45595,525.0,1.0000,1.0000,0.0000,0.4735,0.1994,0.000,unity
