t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,30.6758,0.5000,0.0000,33.313,unity
0.0400,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,30.6758,0.4985,0.0000,33.313,unity
0.0600,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,30.6758,0.4964,0.0000,33.313,unity
0.0800,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,30.6758,0.4941,0.0000,33.313,unity
0.1000,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,30.6758,0.4916,0.0000,33.313,unity
0.1200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,30.6758,0.4890,0.0000,33.313,unity
0.1400,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,30.6758,0.4866,0.0000,33.313,unity
0.1600,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,30.6758,0.4842,0.0000,33.313,unity
0.1800,0.00000,1.0000,0.0000,0.00000,0.00000,0.00000,525.0,1.0000,30.6758,0.4821,0.0000,33.313,unity
0.2000,-0.13899,1.0000,0.0000,0.09883,0.09881,0.20827,525.0,1.0000,30.6769,0.4802,0.0017,33.311,unity
0.2200,-0.21368,1.0000,0.0000,0.19439,0.19442,0.55763,525.0,1.0000,30.6791,0.4785,0.0052,33.304,unity
0.2400,-0.27433,1.0000,0.0000,0.28435,0.28453,0.56397,525.0,1.0000,30.6821,0.4770,0.0102,33.291,unity
0.2600,-0.34862,1.0000,0.0000,0.38022,0.38070,0.68901,525.0,1.0000,30.6860,0.4758,0.0170,33.273,unity
0.2800,-0.41762,1.0000,0.0000,0.47773,0.47877,0.71881,525.0,1.0000,30.6908,0.4748,0.0256,33.244,unity
0.3000,-0.50100,1.0000,0.0000,0.57219,0.57404,0.72835,525.0,1.0000,30.6964,0.4741,0.0360,33.201,unity
0.3200,-0.58529,1.0000,0.0000,0.66747,0.67062,0.78622,525.0,1.0000,30.7027,0.4735,0.0482,33.141,unity
0.3400,-0.65312,1.0000,0.0000,0.75936,0.76432,0.90786,525.0,1.0000,30.7096,0.4730,0.0622,33.060,unity
0.3600,-0.72780,1.0000,0.0000,0.85060,0.85774,1.03034,525.0,1.0000,30.7170,0.4727,0.0780,32.959,unity
0.3800,-0.79836,1.0000,0.0000,0.94044,0.95033,1.15504,525.0,1.0000,30.7250,0.4726,0.0956,32.834,unity
0.4000,-0.79836,1.0000,0.0000,1.02891,1.04209,1.28168,525.0,1.0000,30.7333,0.4725,0.1150,32.682,unity
0.4200,-0.93845,1.0000,0.0000,1.11958,1.13513,1.40487,525.0,1.0000,30.7421,0.4725,0.1361,32.510,unity
0.4400,-1.00000,1.0000,0.0000,1.20314,1.22384,1.53517,525.0,1.0000,30.7511,0.4725,0.1591,32.305,unity
0.4600,-1.00000,1.0000,0.0000,1.28611,1.31215,1.66804,525.0,1.0000,30.7603,0.4726,0.1839,32.067,unity
0.4800,-1.00000,1.0000,0.0000,1.37247,1.40242,1.79733,525.0,1.0000,30.7697,0.4728,0.2105,31.803,unity
0.5000,-1.00000,1.0000,0.0000,1.46068,1.49368,1.92223,525.0,1.0000,30.7795,0.4729,0.2389,31.516,unity
0.5200,-1.00000,1.0000,0.0000,1.54993,1.58544,2.04455,525.0,1.0000,30.7897,0.4730,0.2690,31.208,unity
0.5400,-0.98351,1.0000,0.0000,1.63976,1.67744,2.16539,525.0,1.0000,30.8003,0.4732,0.3010,30.880,unity
0.5600,-0.90548,1.0000,0.0000,1.73116,1.77025,2.28390,525.0,1.0000,30.8114,0.4733,0.3347,30.536,unity
0.5800,-0.83186,1.0000,0.0000,1.82795,1.86581,2.39337,525.0,1.0000,30.8232,0.4735,0.3701,30.185,unity
0.6000,-0.76735,1.0000,0.0000,1.92747,1.96273,2.49396,525.0,1.0000,30.8359,0.4736,0.4073,29.834,unity
0.6200,-0.68401,1.0000,0.0000,2.02800,2.06021,2.58998,525.0,1.0000,30.8495,0.4737,0.4462,29.488,unity
0.6400,-0.60902,1.0000,0.0000,2.12998,2.15837,2.67962,525.0,1.0000,30.8642,0.4738,0.4868,29.151,unity
0.6600,-0.54069,1.0000,0.0000,2.23227,2.25671,2.76525,525.0,1.0000,30.8800,0.4739,0.5291,28.827,unity
0.6800,-0.45971,1.0000,0.0000,2.33432,2.35502,2.84882,525.0,1.0000,30.8969,0.4740,0.5730,28.519,unity
0.7000,-0.39976,1.0000,0.0000,2.43643,2.45329,2.92775,525.0,1.0000,30.9150,0.4740,0.6186,28.230,unity
0.7200,-0.31878,1.0000,0.0000,2.53769,2.55128,3.00728,525.0,1.0000,30.9343,0.4741,0.6658,27.962,unity
0.7400,-0.23966,1.0000,0.0000,2.63865,2.64899,3.08188,525.0,1.0000,30.9549,0.4741,0.7145,27.719,unity
0.7600,-0.17265,1.0000,0.0000,2.73884,2.74623,3.16651,525.0,1.0000,30.9769,0.4742,0.7648,27.505,unity
0.7800,-0.08982,1.0000,0.0000,2.83798,2.84296,3.24877,525.0,1.0000,31.0003,0.4742,0.8166,27.321,unity
0.8000,-0.02187,1.0000,0.0000,2.93601,2.93891,3.32610,525.0,1.0000,31.0251,0.4742,0.8699,27.173,unity
0.8200,0.00000,1.0000,0.0000,3.03277,3.03420,3.40085,525.0,1.0000,31.0513,0.4742,0.9245,27.061,unity
0.8400,0.00000,1.0000,0.0000,3.12899,3.12966,3.48063,525.0,1.0000,31.0790,0.4742,0.9807,26.979,unity
0.8600,0.00000,1.0000,0.0000,3.22512,3.22545,3.56759,525.0,1.0000,31.1077,0.4742,1.0384,26.917,unity
0.8800,0.00000,1.0000,0.0000,3.32120,3.32139,3.65957,525.0,1.0000,31.1375,0.4742,1.0978,26.870,unity
0.9000,0.00000,1.0000,0.0000,3.41726,3.41738,3.75502,525.0,1.0000,31.1682,0.4742,1.1588,26.833,unity
0.9200,0.00000,1.0000,0.0000,3.51329,3.51338,3.85295,525.0,1.0000,31.1998,0.4742,1.2215,26.805,unity
0.9400,0.00000,1.0000,0.0000,3.60932,3.60939,3.95272,525.0,1.0000,31.2323,0.4741,1.2860,26.782,unity
0.9600,0.00000,1.0000,0.0000,3.70532,3.70539,4.05439,525.0,1.0000,31.2657,0.4741,1.3521,26.764,unity
0.9800,0.00000,1.0000,0.0000,3.80131,3.80138,4.16094,525.0,1.0000,31.2999,0.4741,1.4200,26.750,unity
1.0000,0.00000,1.0000,0.0000,3.89729,3.89736,4.26669,525.0,1.0000,31.3350,0.4741,1.4896,26.739,unity
1.0200,0.00000,1.0000,0.0000,3.99326,3.99332,4.37178,525.0,1.0000,31.3709,0.4741,1.5609,26.729,unity
1.0400,0.00000,1.0000,0.0000,4.08921,4.08927,4.47639,525.0,1.0000,31.4076,0.4741,1.6340,26.722,unity
1.0600,0.00000,1.0000,0.0000,4.18514,4.18521,4.58059,525.0,1.0000,31.4452,0.4741,1.7087,26.716,unity
1.0800,0.00000,1.0000,0.0000,4.28107,4.28114,4.68456,525.0,1.0000,31.4836,0.4741,1.7852,26.710,unity
1.1000,0.00000,1.0000,0.0000,4.37698,4.37705,4.78825,525.0,1.0000,31.5229,0.4741,1.8635,26.706,unity
1.1200,0.00000,1.0000,0.0000,4.47287,4.47295,4.89182,525.0,1.0000,31.5631,0.4741,1.9434,26.703,unity
1.1400,0.00000,1.0000,0.0000,4.56876,4.56883,4.99527,525.0,1.0000,31.6040,0.4741,2.0251,26.700,unity
1.1600,0.00000,1.0000,0.0000,4.66462,4.66470,5.09866,525.0,1.0000,31.6459,0.4741,2.1085,26.698,unity
1.1800,0.00000,1.0000,0.0000,4.76048,4.76056,5.20200,525.0,1.0000,31.6886,0.4741,2.1936,26.696,unity
1.2000,0.00000,1.0000,0.0000,4.85633,4.85640,5.30628,525.0,1.0000,31.7321,0.4741,2.2804,26.694,unity
1.2200,0.00000,1.0000,0.0000,4.95215,4.95224,5.41136,525.0,1.0000,31.7765,0.4741,2.3689,26.692,unity
1.2400,0.00000,1.0000,0.0000,5.04797,5.04805,5.51633,525.0,1.0000,31.8218,0.4741,2.4592,26.691,unity
1.2600,-0.03871,1.0000,0.0000,5.14377,5.14386,5.62119,525.0,1.0000,31.8679,0.4741,2.5511,26.690,unity
1.2800,-0.10980,1.0000,0.0000,5.23944,5.23953,5.73142,525.0,1.0000,31.9147,0.4741,2.6449,26.682,unity
1.3000,-0.18535,1.0000,0.0000,5.33420,5.33436,5.85178,525.0,1.0000,31.9619,0.4741,2.7406,26.652,unity
1.3200,-0.24953,1.0000,0.0000,5.42714,5.42758,5.98162,525.0,1.0000,32.0092,0.4741,2.8383,26.588,unity
1.3400,-0.33437,1.0000,0.0000,5.51812,5.51914,6.11710,525.0,1.0000,32.0564,0.4741,2.9381,26.481,unity
1.3600,-0.40685,1.0000,0.0000,5.60573,5.60784,6.25886,525.0,1.0000,32.1031,0.4741,3.0400,26.319,unity
1.3800,-0.47675,1.0000,0.0000,5.69032,5.69403,6.40383,525.0,1.0000,32.1491,0.4741,3.1442,26.095,unity
1.4000,-0.54721,1.0000,0.0000,5.77194,5.77774,6.55033,525.0,1.0000,32.1943,0.4741,3.2506,25.804,unity
1.4200,-0.62773,1.0000,0.0000,5.85045,5.85879,6.69744,525.0,1.0000,32.2384,0.4741,3.3591,25.442,unity
1.4400,-0.70541,1.0000,0.0000,5.92484,5.93626,6.84508,525.0,1.0000,32.2813,0.4741,3.4698,25.003,unity
1.4600,-0.77387,1.0000,0.0000,5.99529,6.01022,6.99200,525.0,1.0000,32.3227,0.4741,3.5826,24.485,unity
1.4800,-0.84445,1.0000,0.0000,6.06270,6.08137,7.13715,525.0,1.0000,32.3624,0.4741,3.6975,23.884,unity
1.5000,-0.92187,1.0000,0.0000,6.12689,6.14948,7.27995,525.0,1.0000,32.4003,0.4741,3.8145,23.202,unity
1.5200,-0.99896,1.0000,0.0000,6.18730,6.21396,7.42001,525.0,1.0000,32.4361,0.4741,3.9334,22.435,unity
1.5400,-1.00000,1.0000,0.0000,6.24439,6.27508,7.55649,525.0,1.0000,32.4697,0.4741,4.0543,21.586,unity
1.5600,-1.00000,1.0000,0.0000,6.30455,6.33847,7.68938,525.0,1.0000,32.5011,0.4741,4.1770,20.663,unity
1.5800,-1.00000,1.0000,0.0000,6.36835,6.40461,7.81911,525.0,1.0000,32.5303,0.4740,4.3016,19.674,unity
1.6000,-1.00000,1.0000,0.0000,6.43541,6.47315,7.96574,525.0,1.0000,32.5574,0.4740,4.4281,18.629,unity
1.6200,-1.00000,1.0000,0.0000,6.50511,6.54360,8.10670,525.0,1.0000,32.5822,0.4740,4.5564,17.534,unity
1.6400,-1.00000,1.0000,0.0000,6.57685,6.61547,8.23850,525.0,1.0000,32.6049,0.4740,4.6866,16.396,unity
1.6600,-0.96839,1.0000,0.0000,6.65007,6.68836,8.36246,525.0,1.0000,32.6253,0.4740,4.8187,15.219,unity
1.6800,-0.89889,1.0000,0.0000,6.72799,6.76493,8.49277,525.0,1.0000,32.6435,0.4740,4.9526,14.014,unity
1.7000,-0.83052,1.0000,0.0000,6.81409,6.84813,8.62176,525.0,1.0000,32.6598,0.4740,5.0884,12.797,unity
1.7200,-0.74557,1.0000,0.0000,6.90634,6.93643,8.72731,525.0,1.0000,32.6744,0.4740,5.2261,11.584,unity
1.7400,-0.66967,1.0000,0.0000,7.00433,7.02959,8.81631,525.0,1.0000,32.6876,0.4740,5.3659,10.389,unity
1.7600,-0.59389,1.0000,0.0000,7.10523,7.12552,8.88447,525.0,1.0000,32.6996,0.4740,5.5077,9.223,unity
1.7800,-0.53145,1.0000,0.0000,7.20777,7.22327,8.93908,525.0,1.0000,32.7104,0.4740,5.6516,8.095,unity
1.8000,-0.45420,1.0000,0.0000,7.31031,7.32164,8.98376,525.0,1.0000,32.7202,0.4740,5.7975,7.010,unity
1.8200,-0.37212,1.0000,0.0000,7.41317,7.42083,9.02168,513.6,0.9783,32.7291,0.4740,5.9455,5.977,unity
1.8400,-0.30093,1.0000,0.0000,7.51421,7.51882,9.04682,500.4,0.9532,32.7373,0.4740,6.0955,5.005,unity
1.8600,-0.23547,1.0000,0.0000,7.61185,7.61421,9.06765,489.5,0.9324,32.7448,0.4740,6.2474,4.099,unity
1.8800,-0.15158,1.0000,0.0000,7.70603,7.70695,9.08473,480.5,0.9153,32.7518,0.4740,6.4013,3.262,unity
1.9000,-0.08168,1.0000,0.0000,7.79719,7.79738,9.09550,474.9,0.9045,32.7584,0.4740,6.5570,2.503,unity
1.9200,-0.01369,1.0000,0.0000,7.88539,7.88558,9.10441,470.2,0.8956,32.7649,0.4740,6.7145,1.827,unity
1.9400,0.00000,1.0000,0.0000,7.97084,7.97168,9.10936,467.6,0.8906,32.7712,0.4740,6.8737,1.237,unity
1.9600,0.00000,1.0000,0.0000,8.05476,8.05653,9.12302,460.4,0.8770,32.7773,0.4741,7.0347,0.723,unity
1.9800,0.00000,1.0000,0.0000,8.13726,8.13989,9.13950,451.8,0.8605,32.7830,0.4741,7.1973,0.273,unity
2.0000,0.00000,1.0000,0.0000,8.21817,8.22147,9.16174,440.1,0.8383,32.7880,0.4741,7.3616,359.879,unity
2.0200,0.00000,1.0000,0.0000,8.29709,8.30085,9.18534,427.7,0.8147,32.7923,0.4741,7.5276,359.532,unity
2.0400,0.00000,1.0000,0.0000,8.37384,8.37789,9.21201,413.7,0.7880,32.7959,0.4741,7.6950,359.226,unity
2.0600,0.00000,1.0000,0.0000,8.44820,8.45237,9.23907,399.5,0.7609,32.7988,0.4741,7.8640,358.956,unity
2.0800,0.00000,1.0000,0.0000,8.52009,8.52425,9.26755,384.5,0.7324,32.8008,0.4741,8.0345,358.717,unity
2.1000,0.00000,1.0000,0.0000,8.58938,8.59343,9.29587,369.7,0.7041,32.8021,0.4741,8.2063,358.506,unity
2.1200,0.00000,1.0000,0.0000,8.65604,8.65993,9.32464,354.6,0.6754,32.8027,0.4741,8.3795,358.319,unity
2.1400,0.00000,1.0000,0.0000,8.72005,8.72373,9.35287,339.7,0.6471,32.8025,0.4741,8.5539,358.154,unity
2.1600,0.00000,1.0000,0.0000,8.78142,8.78485,9.38092,325.0,0.6191,32.8016,0.4741,8.7295,358.006,unity
2.1800,0.00000,1.0000,0.0000,8.84016,8.84333,9.40818,310.7,0.5918,32.8000,0.4741,8.9063,357.875,unity
2.2000,0.00000,1.0000,0.0000,8.89632,8.89923,9.43488,296.7,0.5651,32.7978,0.4741,9.0842,357.758,unity
2.2200,0.00000,1.0000,0.0000,8.94997,8.95262,9.46061,283.2,0.5394,32.7949,0.4741,9.2632,357.654,unity
2.2400,0.00000,1.0000,0.0000,9.00116,9.00356,9.48560,270.1,0.5144,32.7915,0.4741,9.4431,357.561,unity
2.2600,0.00000,1.0000,0.0000,9.04997,9.05213,9.50953,257.5,0.4905,32.7876,0.4741,9.6241,357.477,unity
2.2800,0.00000,1.0000,0.0000,9.09648,9.09842,9.53262,245.4,0.4674,32.7831,0.4741,9.8059,357.403,unity
2.3000,0.00000,1.0000,0.0000,9.14078,9.14251,9.55466,233.8,0.4453,32.7782,0.4741,9.9886,357.336,unity
2.3200,0.00000,1.0000,0.0000,9.18296,9.18451,9.57583,222.7,0.4242,32.7728,0.4741,10.1721,357.275,unity
2.3400,0.00000,1.0000,0.0000,9.22309,9.22447,9.59597,212.1,0.4040,32.7669,0.4741,10.3564,357.221,unity
2.3600,0.00000,1.0000,0.0000,9.26128,9.26250,9.61525,202.0,0.3847,32.7607,0.4741,10.5415,357.173,unity
2.3800,0.00000,1.0000,0.0000,9.29760,9.29868,9.63360,192.4,0.3664,32.7542,0.4741,10.7273,357.129,unity
2.4000,0.00000,1.0000,0.0000,9.33214,9.33309,9.65110,183.2,0.3489,32.7473,0.4741,10.9137,357.090,unity
2.4200,0.00000,1.0000,0.0000,9.36498,9.36582,9.66774,174.4,0.3323,32.7401,0.4741,11.1008,357.054,unity
2.4400,-0.07054,1.0000,0.0000,9.39620,9.39694,9.68358,166.1,0.3164,32.7325,0.4741,11.2885,357.022,unity
2.4600,-0.14255,1.0000,0.0000,9.42533,9.42582,9.70706,153.8,0.2929,32.7244,0.4741,11.4767,356.978,unity
