t,steering,throttle,brake,speed,source
0.0200,0.13575,0.0000,0.0000,3.15550,unity
0.0400,0.08479,0.0000,0.0000,3.21555,unity
0.0600,0.04726,0.0000,0.0000,3.27520,unity
0.0800,0.00567,0.0000,0.0000,3.33436,unity
0.1000,0.00000,0.0000,0.0000,3.39301,unity
0.1200,0.00000,0.0000,0.0000,3.45154,unity
0.1400,0.00000,0.0000,0.0000,3.51003,unity
0.1600,0.00000,0.0000,0.0000,3.56850,unity
0.1800,0.00000,0.0000,0.0000,3.62695,unity
0.2000,0.00000,0.0000,0.0000,3.68539,unity
0.2200,0.00000,0.0000,0.0000,3.74382,unity
0.2400,0.00000,0.0000,0.0000,3.80225,unity
0.2600,0.00000,0.0000,0.0000,3.86067,unity
0.2800,0.00000,0.0000,0.0000,3.91909,unity
0.3000,0.00000,0.0000,0.0000,3.97751,unity
0.3200,0.00000,0.0000,0.0000,4.03593,unity
0.3400,0.00000,0.0000,0.0000,4.09435,unity
0.3600,0.00000,0.0000,0.0000,4.15277,unity
0.3800,0.00000,0.0000,0.0000,4.21119,unity
0.4000,0.00000,1.0000,0.0000,4.26962,unity
0.4200,0.00000,1.0000,0.0000,4.32804,unity
0.4400,0.00000,1.0000,0.0000,4.38646,unity
0.4600,0.00000,1.0000,0.0000,4.44489,unity
0.4800,0.00000,1.0000,0.0000,4.50331,unity
0.5000,0.00000,1.0000,0.0000,4.56173,unity
0.5200,0.00000,1.0000,0.0000,4.62015,unity
0.5400,0.00000,1.0000,0.0000,4.67857,unity
0.5600,0.00000,1.0000,0.0000,4.73698,unity
0.5800,0.00000,1.0000,0.0000,4.79540,unity
0.6000,0.00000,1.0000,0.0000,4.85381,unity
0.6200,0.02743,1.0000,0.0000,4.91222,unity
0.6400,0.06471,1.0000,0.0000,4.97055,unity
0.6600,0.10769,1.0000,0.0000,5.02857,unity
0.6800,0.14737,1.0000,0.0000,5.09196,unity
0.7000,0.18945,1.0000,0.0000,5.14744,unity
0.7200,0.22919,1.0000,0.0000,5.20086,unity
0.7400,0.26563,1.0000,0.0000,5.25678,unity
0.7600,0.30996,1.0000,0.0000,5.30465,unity
0.7800,0.34528,1.0000,0.0000,5.36965,unity
0.8000,0.38799,1.0000,0.0000,5.38484,unity
0.8200,0.42655,1.0000,0.0000,5.50149,unity
0.8400,0.46716,1.0000,0.0000,5.49999,unity
0.8600,0.50508,1.0000,0.0000,5.57702,unity
0.8800,0.54771,1.0000,0.0000,5.60537,unity
0.9000,0.58780,1.0000,0.0000,5.64011,unity
0.9200,0.62815,1.0000,0.0000,5.69873,unity
0.9400,0.67033,1.0000,0.0000,5.72628,unity
0.9600,0.70739,1.0000,0.0000,5.78023,unity
0.9800,0.74715,1.0000,0.0000,5.80785,unity
1.0000,0.78912,1.0000,0.0000,5.85935,unity
1.0200,0.82530,1.0000,0.0000,5.88657,unity
1.0400,0.86521,1.0000,0.0000,5.93781,unity
1.0600,0.90870,1.0000,0.0000,5.95662,unity
1.0800,0.94617,1.0000,0.0000,6.00502,unity
1.1000,0.98920,1.0000,0.0000,6.02377,unity
1.1200,1.00000,1.0000,0.0000,6.07093,unity
1.1400,1.00000,1.0000,0.0000,6.08471,unity
1.1600,1.00000,1.0000,0.0000,6.13799,unity
1.1800,1.00000,1.0000,0.0000,6.15907,unity
1.2000,1.00000,1.0000,0.0000,6.21761,unity
