t,steering,throttle,brake,speed,source
0.0200,0.00000,0.0000,0.0000,0.00000,unity
0.0400,0.00000,0.0000,0.0000,0.00000,unity
0.0600,0.00000,0.0000,0.0000,0.00000,unity
0.0800,0.00000,0.0000,0.0000,0.00000,unity
0.1000,0.00000,0.0000,0.0000,0.00000,unity
0.1200,0.00000,0.0000,0.0000,0.00000,unity
0.1400,0.00000,0.0000,0.0000,0.00000,unity
0.1600,0.00000,0.0000,0.0000,0.00000,unity
0.1800,0.00000,0.0000,0.0000,0.00000,unity
0.2000,0.00000,0.0000,0.0000,0.00000,unity
0.2200,0.00000,0.0000,0.0000,0.00000,unity
0.2400,0.00000,0.0000,0.0000,0.00000,unity
0.2600,0.00000,1.0000,0.0000,0.00000,unity
0.2800,0.00000,1.0000,0.0000,0.04164,unity
0.3000,0.00000,1.0000,0.0000,0.10103,unity
0.3200,0.00000,1.0000,0.0000,0.16053,unity
0.3400,0.00000,1.0000,0.0000,0.22011,unity
0.3600,0.00000,1.0000,0.0000,0.27972,unity
0.3800,0.00000,1.0000,0.0000,0.33936,unity
0.4000,0.00000,1.0000,0.0000,0.39898,unity
0.4200,0.00000,1.0000,0.0000,0.45859,unity
0.4400,0.00000,1.0000,0.0000,0.51817,unity
0.4600,0.00000,1.0000,0.0000,0.57771,unity
0.4800,0.00000,1.0000,0.0000,0.63721,unity
0.5000,0.00000,1.0000,0.0000,0.69666,unity
0.5200,0.00000,1.0000,0.0000,0.75606,unity
0.5400,0.00000,1.0000,0.0000,0.81540,unity
0.5600,0.00000,1.0000,0.0000,0.87469,unity
0.5800,0.00000,1.0000,0.0000,0.93392,unity
0.6000,0.00000,1.0000,0.0000,0.99310,unity
0.6200,0.00000,1.0000,0.0000,1.05221,unity
0.6400,0.00000,1.0000,0.0000,1.11127,unity
0.6600,0.00000,1.0000,0.0000,1.17026,unity
0.6800,0.00000,1.0000,0.0000,1.22921,unity
0.7000,0.00000,1.0000,0.0000,1.28810,unity
0.7200,0.00000,1.0000,0.0000,1.34694,unity
0.7400,0.00000,1.0000,0.0000,1.40573,unity
0.7600,0.00000,1.0000,0.0000,1.46447,unity
0.7800,0.00000,1.0000,0.0000,1.52318,unity
0.8000,0.00000,1.0000,0.0000,1.58185,unity
0.8200,0.00000,1.0000,0.0000,1.64048,unity
0.8400,0.00000,1.0000,0.0000,1.69908,unity
0.8600,0.00000,1.0000,0.0000,1.75766,unity
0.8800,0.00000,1.0000,0.0000,1.81622,unity
0.9000,0.00000,1.0000,0.0000,1.87475,unity
