t,steering,throttle,brake,speed,speed_mag,x,y,z,yaw_deg,source
0.8200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4743,0.0000,0.000,unity
0.8400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4743,0.0000,0.000,unity
0.8600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4743,0.0000,0.000,unity
0.8800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4743,0.0000,0.000,unity
0.9000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4743,0.0000,0.000,unity
0.9200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4743,0.0000,0.000,unity
0.9400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
0.9600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
0.9800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.0000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.0400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.0600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.0800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.1000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.1200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.1400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.1600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.1800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.2000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.2200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.2400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.2600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.2800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.3000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.3200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.3400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.3600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.3800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.4000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.4200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.4400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.4600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.4800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.5000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.5200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.5400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.5600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.5800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.6000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.6200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.6400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.6600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.6800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
1.7000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
